reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
197.159.69.181,4,789,airforce.mil.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
102.164.38.81,4,38,anambrastate.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
41.184.148.252,4,-122,DNS Server: 41-184-148-252.rv.ipnxtelecoms.com,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.70.171,4,930,foreignaffairs.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.71.120,4,478,frsc.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.68.249,4,-51926,nbc.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.67.12,4,4,nema.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.69.92,4,1020,nigerianstat.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.70.254,4,1280,nimasa.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.69.112,4,970,npf.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.67.40,4,683,nphcda.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.66.45,4,555965,Ookla Speedtest Server 53092: speedtest.galaxybackbone.com.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
41.78.83.207,4,1398,osgof.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
41.242.54.153,4,22,policerecruitment.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.68.50,4,2052168,population.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.67.13,4,11,son.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
197.159.67.22,4,17,von.gov.ng,NG,Africa,Sub-Saharan Africa,Nigeria,FCT,,Abuja
