reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
41.216.125.179,4,-5,DNS Server: 41.216.125.179.liquidtelecom.net,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.222.106.96,4,-5,DoH server: dnscry.pt-ebenecity-ipv4,MU,Africa,Sub-Saharan Africa,Mauritius,,,
196.46.50.93,4,-27116,DoH server: dnscry.pt-ebenecity02-ipv4,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.222.106.88,4,1,lexpress.mu,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.222.106.220,4,10,msaw-mu.org,MU,Africa,Sub-Saharan Africa,Mauritius,,,
196.46.49.202,4,-1,Ookla Speedtest Server 11499: speedtest.webhop.net,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.163.100.29,4,18,Ookla Speedtest Server 13766: speedtest-asn-10g.emtelnet.com,MU,Africa,Sub-Saharan Africa,Mauritius,Pamplemousses District,,Arsenal
197.227.12.18,4,85762,Ookla Speedtest Server 22557: speedtestfl.telecom.mu,MU,Africa,Sub-Saharan Africa,Mauritius,Plaines Wilhems District,,Ebene CyberCity
197.227.5.218,4,1468115,Ookla Speedtest Server 22558: speedtestlondon.telecom.mu,MU,Africa,Sub-Saharan Africa,Mauritius,Plaines Wilhems District,,Ebene CyberCity
41.212.142.10,4,9,Ookla Speedtest Server 22559: speedtestrh.telecom.mu,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.163.100.2,4,2,Ookla Speedtest Server 24020: speedtest-bdr-10g.emtelnet.com,MU,Africa,Sub-Saharan Africa,Mauritius,Port Louis District,,Port Louis
102.222.106.253,4,-5,Ookla Speedtest Server 44697: speedtest-mu1.cloud.mu,MU,Africa,Sub-Saharan Africa,Mauritius,,,
102.163.57.154,4,18,Ookla Speedtest Server 59047: speedtest-jhb-10g.emtelnet.com,MU,Africa,Sub-Saharan Africa,Mauritius,Plaines Wilhems District,,Ebene CyberCity
102.163.27.2,4,98,Ookla Speedtest Server 59444: speedtest-marseille-10g.emtelnet.com,MU,Africa,Sub-Saharan Africa,Mauritius,Port Louis District,,Port Louis
102.163.100.58,4,-14,Ookla Speedtest Server 63399: speedtest-rod-10g.emtelnet.com,MU,Africa,Sub-Saharan Africa,Mauritius,Port Louis District,,Port Louis
41.77.145.34,4,-2142606559,parliament.gov.zm,MU,Africa,Sub-Saharan Africa,Mauritius,,,
