reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
156.250.173.184,4,4,0755shouhui.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.250.154.74,4,4,0818dzqc.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
41.185.120.102,4,0,1-grid.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.250.154.81,4,4,13989553197.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
168.76.210.220,4,11,15ttianqi.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.250.249.123,4,5,17bala.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
168.76.110.117,4,23,1nongwang.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.250.173.183,4,4,2016happy.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
168.76.254.235,4,21,21jsr.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.134.250,4,9,247goods4u.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
129.232.187.232,4,-21080,263chat.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.1.30,4,5,315259.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.250.225.19,4,4,360yundou.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
197.242.150.247,4,3,3d-car-shows.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.250.120.67,4,6,4appes.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
160.124.204.3,4,4,4q8.cn,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.18.136,4,14,524255.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.6.168,4,6,8ut.cn,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.52.232,4,5,92zyb.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.166.57,4,-1,999ems.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.216.87,4,4,99xinfang.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
197.221.12.179,4,4,aadexpo.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Somerset West
102.218.215.114,4,618,abiastateuniversity.edu.ng,ZA,Africa,Sub-Saharan Africa,South Africa,,,
168.76.248.122,4,48,acecardtricks.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
129.232.138.229,4,51,adams.africa,ZA,Africa,Sub-Saharan Africa,South Africa,,,
196.216.2.36,4,78,afnog.org,ZA,Africa,Sub-Saharan Africa,South Africa,,,
41.203.18.6,4,7,africanminds.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,,,
129.232.136.14,4,4,africanofilter.org,ZA,Africa,Sub-Saharan Africa,South Africa,,,
129.232.165.58,4,3,afrikabotanicals.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
196.216.3.4,4,-231,afrinic.net,ZA,Africa,Sub-Saharan Africa,South Africa,,,
41.185.65.152,4,10,agriorbit.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
196.22.142.106,4,5,aha.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,,,
156.253.103.204,4,1098,ahhaixiang.cn,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
160.124.243.158,4,4,ahjhyy.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.155.172,4,6,ahmaoshun.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.214.66,4,7,ahxcjj.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
160.124.134.249,4,1,aicheyoudao.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
41.204.202.5,4,4,aidc.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,,,
165.3.35.92,4,-4,aipxw.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
165.3.38.20,4,5,ajpsp.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
196.22.132.230,4,2,algoafm.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,,,
66.22.96.29,4,7,allangray.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
102.130.125.200,4,966,alu-cab.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
197.221.10.89,4,27,amabhungane.org,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Somerset West
160.124.5.196,4,0,amassvip.com,ZA,Africa,Sub-Saharan Africa,South Africa,,,
