reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
79.133.111.6,4,4,22bet.org.ng,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
197.242.150.247,4,3,3d-car-shows.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.172.92,4,614,absolutewish.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
197.242.155.147,4,2818,acesa.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
196.22.228.99,4,-15,activitybridge.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
41.198.157.79,4,-3,acumenmagazine.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,
156.38.205.146,4,-6,afda.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
164.160.91.53,4,4,africanminingmarket.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.160.166,4,-3,africastay.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.168.71,4,-2460,afrilaw.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.230.9,4,6,aiexpoafrica.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.224.37,4,5028,ait.edu.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
66.22.96.29,4,5,allangray.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.167.9,4,-9,amanz.io,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.133.2,4,17,ananzi.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
197.242.144.253,4,1064,anceasterncape.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.203.245,4,12,asb.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.157,4,36,auditexcel.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.207,4,46,awieforum.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
102.22.81.140,4,9,awmauritius.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
102.222.124.24,4,32,bettingcompanies.africa,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
164.160.91.32,4,-21,biggs.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.250.151,4,42,birdlife.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
154.0.166.15,4,-7,blackbookmedia.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.160.152,4,-10,blue-chip.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
66.22.96.118,4,13,bluetrain.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
197.234.132.100,4,-5,bmc.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.230.130,4,-16,bookdash.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
164.160.89.122,4,18,boschrivierwines.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.162.86,4,1625,buffalolodge.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.203.5,4,0,caa.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
197.242.145.173,4,-154,capewinelands.gov.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.173.95,4,18346,cardioroutier.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.164.210,4,16,catholic-dbn.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
102.210.146.4,4,29,catholiclectionary.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.155.250.93,4,-4,catorzegroup.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.160.155,4,-7,cdo-sa.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
164.160.91.44,4,19,centralnews.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.155.252.72,4,0,cheetah.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
154.0.165.44,4,-37,chimurengachronic.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.203.76,4,33,cidb.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.155.252.79,4,1,classifiedfly.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
164.160.91.16,4,-3,clcessentials.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
164.160.91.36,4,3,costcogasguide.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
41.76.212.191,4,-12,crestahotels.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.250.202,4,46,cricket.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
164.160.91.54,4,8,ctph.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
156.38.224.36,4,4109,cyberwebit.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
34.35.14.175,4,4,d6.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
197.242.145.151,4,-7,dealerinfo.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Johannesburg
