reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
102.211.30.63,4,-4,africanbettingclan.com,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
196.21.91.131,4,-27,aims.ac.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
13.245.210.27,4,35,australiantimes.co.uk,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
160.119.101.164,4,4,buildcoza.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
13.244.188.58,4,23,cashbuild.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
197.255.147.147,4,11,diemersfontein.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Stellenbosch
129.205.133.217,4,15546254,DNS Server: 129-205-133-217.dynamic.macrolan.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
197.221.183.133,4,31868,DNS Server: 197-221-183-133.sainet.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Paarl
197.221.183.183,4,8959,DNS Server: 197-221-183-183.sainet.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Paarl
197.221.183.191,4,117695,DNS Server: 197-221-183-191.sainet.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Paarl
197.221.186.59,4,1207,DNS Server: 197-221-186-59.sainet.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Paarl
197.89.18.229,4,-6,DNS Server: 197-89-18-229.dyn.mweb.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
102.140.112.101,4,0,DNS Server: ctn-dnscache.dk.net.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Vredenburg
197.245.38.84,4,-3,DNS Server: dsl-197-245-38-84.voxdsl.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
197.245.44.41,4,-4,DNS Server: dsl-197-245-44-41.voxdsl.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
154.66.88.97,4,-16,DNS Server: gw-nvr.hb.c27.za.net,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Somerset West
41.23.216.150,4,36606126,DNS Server: vc-41-23-216-150.umts.vodacom.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
41.23.216.154,4,4437246,DNS Server: vc-41-23-216-154.umts.vodacom.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
105.243.95.162,4,87727,DNS Server: vc-gp-n-105-243-95-162.umts.vodacom.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Brackenfell
102.216.79.237,4,-2,DoH server: dnscry.pt-capetown-ipv4,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
209.203.50.187,4,-6,dreamresorts.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
13.244.56.48,4,1,flysaa.com,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
13.247.143.12,4,-5,flysaa.com,ZA,Africa,Sub-Saharan Africa,South Africa,Western Cape,,Cape Town
