reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
190.103.177.129,4,-2,DNS Server: 129.ip-177-103-190.cor.ar.ipxon.net,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
181.164.141.151,4,10800899,DNS Server: 151-141-164-181.fibertel.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
200.32.110.90,4,1690,DNS Server: 200-32-110-90.static.impsat.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
179.63.213.158,4,10805682,DNS Server: adsl.213-63-179-158.coopmorteros.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Morteros
190.111.132.1,4,-3,DNS Server: host1.132-111-190.copca.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Cruz Alta
181.15.171.11,4,-7,DNS Server: host11.181-15-171.telecom.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,San Francisco
190.123.85.117,4,2912,DNS Server: host117.190-123-85.sitsanetworks.net,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Río Cuarto
181.16.234.129,4,9,DNS Server: host129-234.16.181.colsecor.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Carrilobo
200.43.77.131,4,-10,DNS Server: host131.200-43-77.telecom.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Achiras
200.105.108.212,4,333,DNS Server: Host212-108.epectelco.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
190.96.113.22,4,133725,DNS Server: Host22-113.epectelco.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
181.10.18.243,4,44718534,DNS Server: host243.181-10-18.telecom.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Río Segundo
190.105.214.36,4,54,DNS Server: host36.190-105-214.sitsanetworks.net,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Laguna Larga
190.123.85.89,4,-7,DNS Server: host89.190-123-85.sitsanetworks.net,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Río Cuarto
190.96.116.90,4,25,DNS Server: Host90-116.epectelco.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
200.115.48.90,4,-1,DNS Server: host90-48.115-200.mail.arcoop.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Etruria
200.43.130.208,4,5,larioja.gov.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
190.11.207.4,4,-6,Ookla Speedtest Server 15116: tuenlace.nodosud.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Monte Buey
200.91.48.3,4,30,Ookla Speedtest Server 28143: speedtest.coop-her.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Hernando
45.189.200.7,4,87487,Ookla Speedtest Server 30586: speedtest.grupomke.com,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Río Cuarto
190.123.90.19,4,3,Ookla Speedtest Server 41784: sp2.sitsa.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Arroyo Cabral
190.109.124.21,4,10,Ookla Speedtest Server 43996: teste.internetcordoba.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
201.220.156.189,4,5,Ookla Speedtest Server 51605: speedtest.itc.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Embalse
190.123.90.18,4,-11,Ookla Speedtest Server 52476: sp3.sitsa.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Arroyo Cabral
45.231.219.222,4,-12,Ookla Speedtest Server 53613: test.celjo.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Jovita
190.108.216.29,4,2,Ookla Speedtest Server 55426: test1.speed.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Balnearia
181.16.180.194,4,-2,Ookla Speedtest Server 55636: speedtest2.colsecor.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Arroyito
189.8.115.253,4,4,Ookla Speedtest Server 57173: test2.speed.net.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,La Para
190.123.90.20,4,-2,Ookla Speedtest Server 57410: sp4.sitsa.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Arroyo Cabral
190.123.90.21,4,16,Ookla Speedtest Server 57454: sp5.sitsa.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Arroyo Cabral
181.88.182.26,4,123922,Ookla Speedtest Server 63127: speedtest.coopanisacate.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Villa Dolores
190.123.90.22,4,-3,Ookla Speedtest Server 71044: sp6.sitsa.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,Córdoba
204.199.3.7,4,1292,radiocanal.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Cordoba,,San Francisco
