reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
168.195.135.67,4,15635,DNS Server: 168-195-135-67.deltafibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
168.195.135.71,4,15635,DNS Server: 168-195-135-71.deltafibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
201.48.9.4,4,5240,DNS Server: 201-048-009-004.static.ctbctelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
201.48.9.5,4,5237,DNS Server: 201-048-009-005.static.ctbctelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.191.205.205,4,-184,DNS Server: 45-191-205-205.lanfibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.65.222.39,4,2,DNS Server: 45-65-222-39.linqtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
200.17.56.16,4,12,ifg.edu.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.5.19.171,4,2,Ookla Speedtest Server 11996: ookla.bandaa.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
179.108.88.22,4,-6,Ookla Speedtest Server 14071: sp1.ragtek.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.239.136.10,4,-5,Ookla Speedtest Server 21814: speedtest.alanhouse.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.237.212.14,4,-5,Ookla Speedtest Server 23845: speedtest.fresnel.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.239.139.11,4,-5,Ookla Speedtest Server 24496: speedtest.masterturbonet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.65.220.22,4,-8,Ookla Speedtest Server 24965: speedtest.linqtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
45.238.0.21,4,-17,Ookla Speedtest Server 25838: speedtest.netmaisfibra.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
186.230.14.19,4,-2,Ookla Speedtest Server 26091: spetstgna01.timbrasil.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
168.195.132.244,4,-8,Ookla Speedtest Server 26122: speedtest.deltafibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
170.0.73.242,4,-20,Ookla Speedtest Server 27442: speedtest.cyberline.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Goiás,,Goiânia
