reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
206.62.64.34,4,142780,DNS Server: 34.64.62.206.static.deltainternet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
177.91.172.6,4,-39,grupo14d.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
131.0.44.60,4,12,Ookla Speedtest Server 12186: speedtest.pontonettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
177.8.248.23,4,5,Ookla Speedtest Server 13606: speedtest.isuper.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
170.238.151.42,4,2,Ookla Speedtest Server 14752: speedtest.mgp.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
45.170.68.8,4,114937,Ookla Speedtest Server 55794: speedtest.mocinternet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
45.71.104.45,4,406714,Ookla Speedtest Server 57971: teste.fibercom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
160.20.205.90,4,69308,Ookla Speedtest Server 67556: sp1.newsystemtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
160.20.205.141,4,10,Ookla Speedtest Server 68920: speedtest.mga.i9tech.top,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
45.71.104.48,4,-3,Ookla Speedtest Server 71583: teste.prcity.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
