reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
187.33.241.19,4,0,apuanaesportes.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
206.42.47.138,4,11,baraodeitarare.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
168.90.207.86,4,919,DNS Server: 168-90-207-86.uplinkbrasil.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.253.186,4,8,DNS Server: 186.253.33.187.in-addr.arpa,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.253.82,4,14,DNS Server: 82.253.33.187.in-addr.arpa,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.43,4,5,drfabiobarros.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.58,4,16,falkebier.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.16,4,-1,hoogli.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.10,4,-1,maisgazeta.com,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.13,4,-1,maranhaohoje.com,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
187.33.241.25,4,5,nogaprodutora.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
170.231.108.91,4,-5,Ookla Speedtest Server 9432: speedtest.sys3telecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
190.196.240.230,4,-50,Ookla Speedtest Server 12207: sp1.weblinetelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
168.90.240.42,4,2,Ookla Speedtest Server 17482: ookla.pgnetprovedor.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
45.162.29.250,4,-8,Ookla Speedtest Server 20950: sp1.conectvirtua.jampa.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
143.208.200.23,4,-14,Ookla Speedtest Server 25062: speedtest.eternal.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
45.170.92.34,4,2,Ookla Speedtest Server 26448: speedtest.a5bandalarga.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,João Pessoa
