reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
170.84.145.224,4,14,DNS Server: 170-84-145-224.directtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.147.203,4,6,DNS Server: 170-84-147-203.directtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.147.204,4,8,DNS Server: 170-84-147-204.directtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
186.250.118.34,4,115556,DNS Server: 34.118.250.186.itt.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
177.87.45.12,4,-10,Ookla Speedtest Server 23924: speed.mlt.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
138.122.60.46,4,4,Ookla Speedtest Server 26173: st1-tsa.grupoip.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.187.197.244,4,-15,Ookla Speedtest Server 29559: speedtest.morfeutelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.176.255.242,4,3172559,Ookla Speedtest Server 32559: speedtest.bcnetpi.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
138.121.128.90,4,17,Ookla Speedtest Server 33568: br.test.oratelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
179.51.196.11,4,9,Ookla Speedtest Server 41200: speedtest.fortinettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.230.147.132,4,11,Ookla Speedtest Server 43217: speedtest.idealnetfibra.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.147.228,4,75208950,Ookla Speedtest Server 44059: speedtest.jmgsatnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
177.12.146.128,4,20658335,Ookla Speedtest Server 47193: teste.it3telecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.145.60,4,13,Ookla Speedtest Server 47193: teste.it3telecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.236.16.22,4,390559,Ookla Speedtest Server 53959: teste.jrnetdigital.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
201.76.108.1,4,922885,Ookla Speedtest Server 56766: sp1.uau.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.176.156.4,4,-143076,Ookla Speedtest Server 58007: velocidade.smnet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.239.191.14,4,-9,Ookla Speedtest Server 58662: speedtest.aknettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
179.51.199.25,4,-3,Ookla Speedtest Server 59819: teste.speednetpi.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.145.205,4,17,Ookla Speedtest Server 61618: speedtest.akicelsatinter.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
177.12.146.65,4,15585,Ookla Speedtest Server 62541: speedtest.matriztelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.145.136,4,17,Ookla Speedtest Server 62751: teste.artnetpiaui.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
168.90.90.8,4,-69,Ookla Speedtest Server 64940: speedteresina1.megalinkpiaui.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
170.84.145.192,4,18614,Ookla Speedtest Server 65212: teste.evenettelecon.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
45.188.151.58,4,19,Ookla Speedtest Server 72807: speedtest.duotel.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
200.137.162.223,4,6,ufpi.br,BR,Americas,Latin America and the Caribbean,Brazil,Piauí,,Teresina
