reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
177.12.220.21,4,139,DNS Server: 177-12-220-21.r2telecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
45.181.24.117,4,1536,DNS Server: 45-181-24-117.viwtelecom-isp.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Arapiraca
45.186.99.45,4,-1824,DNS Server: 45-186-99-45.virtualinknet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,União dos Palmares
179.127.77.234,4,325,Ookla Speedtest Server 18207: maceio.speedtest.jgnet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
45.178.200.18,4,38125,Ookla Speedtest Server 30172: teste.altelecommcz.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
177.38.199.94,4,133630,Ookla Speedtest Server 41098: velocidade.click82.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
189.127.187.250,4,10769994,Ookla Speedtest Server 53379: speedtest.parceirosdanet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
177.87.104.10,4,88,Ookla Speedtest Server 55036: speedtest-olf.provedorsuperconnect.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Santana do Ipanema
45.164.53.131,4,233,Ookla Speedtest Server 55040: speedtest-al-penedo.provedorsuperconnect.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Traipu
45.188.112.22,4,200,Ookla Speedtest Server 57155: spd.fullnettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Chã Preta
45.185.36.26,4,529875,Ookla Speedtest Server 63640: test.mundofibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
138.97.195.243,4,297,Ookla Speedtest Server: speedtest.conextelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Taquarana
192.141.192.62,4,141,Ookla Speedtest Server: spt.ligfibra.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Teotônio Vilela
177.37.44.22,4,84,Ookla Speedtest Server: teste.ancoratelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Marechal Deodoro
131.161.24.202,4,147,Ookla Speedtest Server: teste.rupitelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
179.49.136.199,4,19180,Ookla Speedtest Server: teste.streamnet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Alagoas,,Maceió
