reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
177.15.65.132,4,-35462,ana.gov.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
187.115.86.101,4,26,brasal.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
189.84.137.163,4,9,cfm.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
186.250.240.89,4,5,designmaster.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
200.103.127.238,4,1,DNS Server: 200-103-127-238.bsace705.dsl.brasiltelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
201.48.9.4,4,6596,DNS Server: 201-048-009-004.static.ctbctelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
201.48.9.5,4,6598,DNS Server: 201-048-009-005.static.ctbctelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
201.48.30.217,4,47,DNS Server: 201-048-030-217.static.ctbctelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
45.230.194.11,4,23687,DNS Server: mx4.seconsignado.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
200.130.15.155,4,5,eravirtual.org,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
201.48.16.26,4,36,imaginarium.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
186.250.240.93,4,815,martinsnegocios.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
186.250.243.195,4,2,nobilehoteis.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
189.85.80.56,4,200,Ookla Speedtest Server 1625: speedtest.nwi.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
164.163.0.9,4,333,Ookla Speedtest Server 19838: speedtest.connectxtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
200.25.16.125,4,231,Ookla Speedtest Server 46885: spt-bsb1.edgeuno.com,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
201.131.98.90,4,307,Ookla Speedtest Server 53789: ookla.bsb.srv.third.benerofonte.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
131.108.88.34,4,225,Ookla Speedtest Server 54013: velocimetro-i10.lvnetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
187.62.247.67,4,217,Ookla Speedtest Server 55194: speedtest.automatize.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
45.166.160.38,4,259,Ookla Speedtest Server 62076: ookla.conectivaredes.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
138.122.5.97,4,3041,Ookla Speedtest Server 62887: speedlanonlineca.yapagos.com,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,
189.84.137.165,4,44,portalmedico.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
189.50.84.11,4,87146,pps.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
177.15.68.19,4,57,telebras.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Federal District,,Brasília
