reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
170.239.140.18,4,98920,DNS Server: 170.239.140.18.redebjnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Zé Doca
170.239.143.13,4,-6,DNS Server: 170.239.143.13.redebjnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Zé Doca
177.185.134.194,4,12273,DNS Server: 177-185-134-194.static.isotelco.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Imperatriz
187.62.150.40,4,-4,DNS Server: 187.62.150.40.megalinkinternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Barão de Grajaú
201.182.66.37,4,5092,DNS Server: 37.66.182.201.equatorialtelecom.com,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,São Luís
45.180.218.199,4,15,DNS Server: 45-180-218-199.starone.psi.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,São Luís
177.105.208.17,4,-189173,DNS Server: reverse-208-017.portalmail.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Caxias
200.188.210.251,4,-13,fenabrave.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Santa Inês
179.49.184.30,4,-4,Ookla Speedtest Server 9665: sp1.vianetitz.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Imperatriz
189.90.35.133,4,9,Ookla Speedtest Server 10683: sp1.jupiter.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Imperatriz
128.201.172.13,4,5108,Ookla Speedtest Server 13074: speedtest.netfy.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Imperatriz
45.161.248.21,4,1899001,Ookla Speedtest Server 13878: speedtest.prismatelcom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Colinas
160.20.200.13,4,-13,Ookla Speedtest Server 14458: speedtest.bipnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Bacabal
164.163.252.19,4,104,Ookla Speedtest Server 14924: speedtest.datalig.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,São Luís
131.196.120.7,4,-35,Ookla Speedtest Server 14927: speedtest.radarconnect.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Itinga do Maranhão
200.1.125.196,4,-17,Ookla Speedtest Server 15620: speedtest.grupoceuma.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,São Luís
45.172.130.250,4,-216162,Ookla Speedtest Server 16054: speedtest.gigabrasil.net,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Cururupu
45.163.103.21,4,18776807,Ookla Speedtest Server 16604: speedtest.dudunet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Açailândia
128.201.44.38,4,-4,Ookla Speedtest Server 19137: speedtest.cohabnetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Caxias
177.86.249.3,4,7,Ookla Speedtest Server 19612: speedtest.conectanet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Balsas
177.125.20.5,4,-2,Ookla Speedtest Server 20164: speedtest.speedconnect.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Imperatriz
164.163.252.18,4,22,Ookla Speedtest Server 20621: speedtest.net5.tv.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,São Luís
189.85.108.33,4,20,Ookla Speedtest Server 22644: spt.conexaonet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Bacabal
45.168.48.12,4,-6,Ookla Speedtest Server 23756: speedtest.oknetinfor.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Maranhão,,Caxias
