reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
177.155.88.19,4,8,acisji.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Londrina
177.66.162.141,4,-8,aquario.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
38.255.122.189,4,12,astrocentro.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Campo Mourão
187.73.185.132,4,-7,athletic.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Marechal Cândido Rondon
185.238.230.245,4,21,autoentusiastas.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
185.238.230.67,4,0,cebrap.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
200.150.67.246,4,10,cieepr.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.66.162.164,4,-10,cocamar.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.220.149.10,4,792,DNS Server: 10.149.220.177.dynamic.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Paranaguá
138.185.72.109,4,-333000467,DNS Server: 109.72.185.138.g21telecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Nova Esperança
200.195.154.122,4,66915,DNS Server: 122.154.195.200.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.220.141.14,4,75,DNS Server: 14.141.220.177.dynamic.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
160.238.203.130,4,-3,DNS Server: 160-238-203-130.lsnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Marechal Cândido Rondon
187.95.100.168,4,-2,DNS Server: 168.100.95.187.dynamic.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.124.58.171,4,-12,DNS Server: 171.58.124.177.static.horizonstelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.38.54.23,4,-13765,DNS Server: 177-38-54-23.user.dynamic.hjnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Santa Tereza do Oeste
177.19.235.20,4,-2,DNS Server: 177.19.235.20.static.gvt.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
187.95.125.180,4,8909,DNS Server: 180.125.95.187.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
186.226.243.54,4,-46,DNS Server: 186-226-243-054.6ptelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Piraí do Sul
200.195.170.186,4,3,DNS Server: 186.170.195.200.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
187.19.101.33,4,-7,DNS Server: 187-19-101-33.users.certto.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Cascavel
189.26.121.102,4,10816,DNS Server: 189.26.121.102.static.gvt.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
200.150.66.11,4,-3,DNS Server: 200-150-66-11-ipdireto.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
177.220.156.202,4,389,DNS Server: 202.156.220.177.dynamic.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Paranaguá
177.92.18.202,4,-6,DNS Server: 202.18.92.177.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
187.60.217.204,4,3150,DNS Server: 204.217.60.187.dynamic.ampernet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Francisco Beltrão
177.105.172.225,4,2906,DNS Server: 225.172.105.177.qixtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Ribeirão do Pinhal
177.92.7.26,4,-5,DNS Server: 26.7.92.177.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Telêmaco Borba
187.95.125.3,4,-54302,DNS Server: 3.125.95.187.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
206.62.64.34,4,142780,DNS Server: 34.64.62.206.static.deltainternet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Maringá
187.95.112.36,4,541,DNS Server: 36.112.95.187.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
45.232.212.21,4,10800304,DNS Server: 45-232-212-21.dyn.webmaxx.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Cianorte
187.109.104.56,4,39202,DNS Server: 56.104.109.187.dynamic.ampernet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Pato Branco
200.150.103.60,4,-24279,DNS Server: 60.103.150.200.static.copel.net,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Curitiba
186.209.177.128,4,23122875,DNS Server: acesso-177-128.connet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Floresta
186.209.177.191,4,40064943,DNS Server: acesso-177-191.connet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Floresta
186.209.177.193,4,-790469229,DNS Server: acesso-177-193.connet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Floresta
