reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
206.84.63.62,4,66921,DNS Server: 206.84.63.62.assistemas.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
138.117.37.253,4,6212081,DNS Server: 253-37-117-138.loginternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Colares
45.190.138.66,4,-3,DNS Server: 45-190-138-66.isppapagaio.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Santarém
45.191.243.1,4,-22685,DNS Server: 45-191-243-1.nvnetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Canaã dos Carajás
45.71.80.148,4,4,DNS Server: 45-71-80-148.coelhotecnologia.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Parauapebas
177.130.52.76,4,0,DNS Server: 76-52-130-177.redewsp.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Santarém
201.76.105.10,4,884519,Ookla Speedtest Server 2157: speedtest.vescnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
177.124.88.12,4,-13,Ookla Speedtest Server 5821: speedtest.skorpionet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
177.66.104.117,4,8,Ookla Speedtest Server 6580: speedtest1.interconect.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
132.255.230.42,4,2,Ookla Speedtest Server 6877: speedtest.gigabytenetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Canaã dos Carajás
45.168.35.19,4,14350,Ookla Speedtest Server 8366: velocidade.cliqtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Vigia
186.232.200.235,4,-1,Ookla Speedtest Server 9297: speedtest.carajasnet.com,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Canaã dos Carajás
170.239.0.75,4,20,Ookla Speedtest Server 11153: speedtest3.carajasnet.com,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
170.233.148.141,4,63433,Ookla Speedtest Server 12673: speedtest.jtnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
170.244.68.26,4,917553,Ookla Speedtest Server 14141: speedtest.tudofibra.tv.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Paragominas
186.209.220.24,4,-20,Ookla Speedtest Server 14558: speedtest.gconecta.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Conceição do Araguaia
45.70.213.137,4,18,Ookla Speedtest Server 14764: speedtest.velfibra.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
38.191.188.4,4,-13,Ookla Speedtest Server 15829: speedtest.ion.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
200.152.3.49,4,21480,Ookla Speedtest Server 15844: spd.provedoruniversonet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Tomé-Açu
168.197.152.20,4,18,Ookla Speedtest Server 16380: speedtest.clickenter.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Capitão Poço
131.161.204.71,4,-7,Ookla Speedtest Server 18558: velocimetroatm.interlig.net,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Altamira
167.250.72.237,4,-20,Ookla Speedtest Server 23586: speedtest.nevolitelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Castanhal
132.255.168.18,4,15,Ookla Speedtest Server 26492: speedtest-stm.redeconecta.com,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Óbidos
131.0.220.44,4,-64,Ookla Speedtest Server 26537: speedtest.deltapa.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Brasil Novo
131.0.220.42,4,-17,Ookla Speedtest Server 26538: speedtestmdc.deltapa.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Brasil Novo
138.118.193.71,4,13,Ookla Speedtest Server 28160: teste.bossnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Rondon do Pará
170.83.136.69,4,-9,Ookla Speedtest Server 28262: teste.connectanet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Dom Eliseu
45.5.192.8,4,-24,Ookla Speedtest Server 28724: velocidade.rpnettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Santarém
45.166.29.251,4,8,Ookla Speedtest Server 29556: speedtest.solprovedor.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,São João de Pirabas
179.48.232.7,4,0,Ookla Speedtest Server 30048: teste.blogtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Itupiranga
138.118.4.28,4,6,Ookla Speedtest Server 30250: velocimetro.netsulonline.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Jacundá
200.50.196.10,4,27,Ookla Speedtest Server 30342: aragonnetspeedtest.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Alenquer
132.255.178.114,4,3,Ookla Speedtest Server 30560: speedtest.ligafibra.com,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
45.191.240.17,4,-9,Ookla Speedtest Server 30768: speedtest.nvnetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Canaã dos Carajás
200.124.93.65,4,4,Ookla Speedtest Server 30887: speedtest.xnetspeedtest.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Parauapebas
131.255.224.101,4,-5,Ookla Speedtest Server 32925: speedtest.fibralink.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
187.1.32.22,4,23,Ookla Speedtest Server 33654: speedtest5.carajasnet.com,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Parauapebas
187.73.98.86,4,-2,Ookla Speedtest Server 34402: velocidade.cte.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
45.5.212.42,4,31,Ookla Speedtest Server 34685: speedtest.martinsnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
200.174.177.180,4,-15,Ookla Speedtest Server 34861: spd34.claro.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
179.49.252.10,4,-15,Ookla Speedtest Server 34932: teste.foxtelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Curuçá
170.245.94.161,4,-4,Ookla Speedtest Server 35621: speedtest.internetportal.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
170.233.149.161,4,2,Ookla Speedtest Server 35798: speedtest.speedtestasnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Marabá
177.130.50.6,4,-961061,Ookla Speedtest Server 35928: speedtest.redewsp.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Itaituba
170.78.92.124,4,-22,Ookla Speedtest Server 36300: speedtestspeednet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Monte Alegre
200.6.143.12,4,21,Ookla Speedtest Server 36647: teste.mov.pro.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Santarém
45.5.235.2,4,0,Ookla Speedtest Server 36794: speedtest.linkonetecnologia.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Parauapebas
189.127.155.15,4,-8,Ookla Speedtest Server 37454: speedtest.redelanspeedtest.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
167.249.208.138,4,10085075,Ookla Speedtest Server 37869: srv-speedtest.amplitudetelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
45.176.44.194,4,13,Ookla Speedtest Server 37931: speedtest.ilhasnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
191.36.136.158,4,-26,Ookla Speedtest Server 38069: speedtest.jetzinternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Paragominas
45.228.14.98,4,13,Ookla Speedtest Server 38786: speedtest.zeusnettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Belém
168.0.168.207,4,-8,Ookla Speedtest Server 38902: speedtest.globalinfotelecom.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Sapucaia
45.161.76.25,4,4,Ookla Speedtest Server 39439: speedtest01.brnetworks.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,São Geraldo do Araguaia
190.89.188.13,4,-5,Ookla Speedtest Server 39440: speedtest.lineinternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Castanhal
179.63.184.2,4,-16828,Ookla Speedtest Server 39638: speedtest.upnetspeedtest.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Pará,,Ananindeua
