reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
177.47.177.32,4,5,infonet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
191.52.248.32,4,182,Ookla Speedtest Server 5712: speedtest.marvitel.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
131.161.131.210,4,356,Ookla Speedtest Server 32668: spd2.itaon.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
168.227.75.250,4,311,Ookla Speedtest Server 38517: speedtest.nsg.itnettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Nossa Senhora da Glória
177.70.161.6,4,154,Ookla Speedtest Server 54584: teste3.infotec.psi.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
186.233.28.22,4,62715,Ookla Speedtest Server 54837: speedtest.megalinkse.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Nossa Senhora de Lourdes
45.228.236.46,4,327,Ookla Speedtest Server 58794: speedtest02.netuptelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Nossa Senhora do Socorro
190.89.208.69,4,272,Ookla Speedtest Server 63641: speedtest.apxnetprovedor.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
45.168.3.254,4,111,Ookla Speedtest Server: speed.minasbr.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
45.183.144.22,4,-76065,Ookla Speedtest Server: speed.provedorturbofibra.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Nossa Senhora do Socorro
177.72.177.50,4,292,Ookla Speedtest Server: speed1.celinet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Umbaúba
45.238.200.80,4,314,Ookla Speedtest Server: speedtest-lagarto.anettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Salgado
45.225.122.252,4,300,Ookla Speedtest Server: speedtest.centrosulnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Boquim
45.229.0.218,4,15,Ookla Speedtest Server: speedtest.virtualnetprovedor.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
177.136.185.22,4,-18306,Ookla Speedtest Server: spn1.grvtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Tobias Barreto
200.17.141.60,4,7,ufs.br,BR,Americas,Latin America and the Caribbean,Brazil,Sergipe,,Aracaju
