reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
168.205.124.9,4,49778,DNS Server: 168-205-124-9.host.brasildigital.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
45.179.215.9,4,502365,Ookla Speedtest Server 26084: speed.fgtelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
45.235.114.66,4,-27,Ookla Speedtest Server 38378: speedtest.linknetspeedtest.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
45.181.106.10,4,29537,Ookla Speedtest Server 40088: speedtest.vipnetconexao.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
131.0.118.83,4,-22,Ookla Speedtest Server 42223: speedtest.ollatelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
131.0.118.169,4,-15,Ookla Speedtest Server 47891: speed.grinternett.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
179.124.160.38,4,7,Ookla Speedtest Server 50192: speedtest.extremanetwork.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
177.221.56.53,4,-11,Ookla Speedtest Server 53681: a-speedtest.brasildigital.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
45.235.112.195,4,-8,Ookla Speedtest Server 57711: souza.linknetspeedtest.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
131.221.121.194,4,17,Ookla Speedtest Server 59450: speedtest.unifica.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
190.3.160.254,4,882290,Ookla Speedtest Server 61254: speedtest.uptelecom-ro.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
189.113.56.0,4,26,Ookla Speedtest Server 63407: speedtest.ak4digital.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
154.64.15.0,4,-19,Ookla Speedtest Server 64845: speedtest.conectnorte.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
170.233.109.94,4,4,Ookla Speedtest Server 65498: speedtest-vsbu.rolimnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rondônia,,Porto Velho
