reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
192.140.40.253,4,-7,DNS Server: 192-140-40-253.allfiber.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
138.219.129.70,4,17,Ookla Speedtest Server 10931: speedtest.inforr.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
45.160.184.6,4,14,Ookla Speedtest Server 21777: speedtest.webfibertelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
45.232.36.11,4,25,Ookla Speedtest Server 22091: velocidade.amazoniatelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
45.169.161.13,4,5,Ookla Speedtest Server 25749: velocidade.4wnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
170.81.15.242,4,-225615,Ookla Speedtest Server 30198: speedtest.snnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
186.216.31.128,4,6317,Ookla Speedtest Server 46999: teste.suprainternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
191.243.243.40,4,-6791,Ookla Speedtest Server 49031: speedtest.linknetbv.com,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
45.188.207.128,4,-1,Ookla Speedtest Server 50249: speedtest.uplinkrr.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
45.164.187.0,4,871,Ookla Speedtest Server 57456: speedtest.auratelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
104.234.244.10,4,-14,Ookla Speedtest Server 59038: velocidade-mns.4wnet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Roraima,,Boa Vista
