reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
200.152.177.46,4,4,4x4brasil.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
201.48.32.103,4,313,ctbdigital.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.200.69.231,4,-52980135,DNS Server: 177-200-69-231.alcanstelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.200.69.235,4,-1,DNS Server: 177-200-69-235.alcanstelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
200.152.191.40,4,-9,hagah.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
45.177.79.195,4,-1,Ookla Speedtest Server 25507: speedtest.weclix.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.74.186.244,4,-4,Ookla Speedtest Server 35427: speedtest2.internetsky.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
186.219.52.11,4,-4,Ookla Speedtest Server 38805: velocidade.vialuxinternet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
131.100.132.204,4,-11679,Ookla Speedtest Server 53175: speedtest3.radiobrastelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.54.196.81,4,-8,Ookla Speedtest Server 54079: speedtest2.weclix.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
131.108.148.21,4,0,Ookla Speedtest Server 56426: speedserver-rpt.itop.net.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.52.80.49,4,-2,Ookla Speedtest Server 57829: speedtest.mapneteseguranca.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
45.4.32.138,4,2,Ookla Speedtest Server 69487: speedtest2.nicnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
177.74.186.243,4,-7,Ookla Speedtest Server 69885: speedtest-scl.alcans.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
143.107.152.210,4,7,sbfisica.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
