reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.239.210.15,4,1,66unblockedgames.com,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
187.45.186.42,4,736,aa.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
82.180.134.118,4,3,abag.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
62.72.63.40,4,0,abejor.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
82.180.159.36,4,4,abennacional.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
185.139.2.219,4,6,abinee.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
82.180.158.21,4,0,abpa-br.org,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
82.112.247.239,4,4,abraciclo.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
185.173.111.21,4,2,academiachinauy.edu.uy,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
147.79.109.194,4,1,academiatlc.com,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
191.241.229.253,4,-12,acaoeducativa.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
187.102.157.83,4,19,acaoeducativa.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
147.79.91.136,4,17,acij.org.ar,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
195.200.3.155,4,19,adtgamer.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
195.35.43.65,4,0,aepet.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
45.151.121.82,4,5,agencianovaacao.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
54.233.240.245,4,6,agenteimovel.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
102.165.25.200,4,10,agorarn.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
77.37.127.106,4,5,agrosmart.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
34.95.253.60,4,6,ahkbrasil.com,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
