reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
190.14.231.58,4,163,ada-aero.com,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
200.122.217.234,4,12,ada-aero.com,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
179.50.14.235,4,52,antillana.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.78.15.137,4,128,DNS Server: 137-15-78-181.ufinet.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.107.19.170,4,-2145041796,DNS Server: 19010719170.ip60.static.mediacommerce.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.107.25.170,4,-494,DNS Server: 19010725170.ip66.static.mediacommerce.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.60.37.226,4,-23186,DNS Server: 226-37-60-190.ufinet.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.10.70,4,106978,DNS Server: adsl-181-129-10-70.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.223.226,4,48,DNS Server: adsl-181-129-223-226.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.36.242,4,3239,DNS Server: adsl-181-129-36-242.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.48.10,4,73137,DNS Server: adsl-181-129-48-10.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.5.98,4,2549,DNS Server: adsl-181-129-5-98.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.57.146,4,3106,DNS Server: adsl-181-129-57-146.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.71.63.18,4,-12618478,DNS Server: adsl190-71-63-18.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.129.138.155,4,191,DNS Server: agrinsa.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
201.184.253.122,4,-210056516,DNS Server: beepinshoes.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.248.67.206,4,-3,DNS Server: cable190-248-67-206.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.249.158.58,4,-2496,DNS Server: cable190-249-158-58.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.249.168.212,4,2022,DNS Server: cable190-249-168-212.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
190.249.170.32,4,23962,DNS Server: cable190-249-170-32.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
200.116.135.169,4,40996,DNS Server: cable200-116-135-169.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
200.116.110.39,4,2534,DNS Server: conm200-116-110-39.epm.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
181.205.127.82,4,31306172,DNS Server: Dinamic-Tigo-181-205-127-82.tigo.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
