reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
181.78.15.137,4,1,DNS Server: 137-15-78-181.ufinet.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Barrancabermeja
181.129.183.19,4,37294552,DNS Server: adsl-181-129-183-19.une.net.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
45.173.12.139,4,412,DNS Server: ateneateleco139.ateneatelecomunicaciones.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,San Gil
181.204.214.146,4,1561,DNS Server: Static-BA-181-204-214-146.tigoune.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
181.204.36.42,4,12130,DNS Server: Static-BA-181-204-36-42.tigoune.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
45.172.222.226,4,2,Ookla Speedtest Server 39491: speedtest.ateneatelecomunicaciones.vip,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,San Gil
38.191.208.29,4,2533,Ookla Speedtest Server 50357: speedtest.netslink.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
181.224.222.4,4,-14,Ookla Speedtest Server 51440: speedtest.ipcomsistemas.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Contratación
181.78.15.68,4,-16,Ookla Speedtest Server 67548: arrobadigitalspeeed.yapagos.com,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Barrancabermeja
24.152.59.94,4,15,Ookla Speedtest Server 68360: speedtest2.vivercom.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
45.172.222.227,4,-8,Ookla Speedtest Server 71226: speedtest.uhfcomunicaciones.com,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,San Gil
190.60.49.139,4,-1,Ookla Speedtest Server 73355: speedtest-subachoque.cablemas.com.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Floridablanca
190.61.63.146,4,-10,Ookla Speedtest Server 73956: speedtest.redviva.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Barrancabermeja
38.191.197.25,4,9,Ookla Speedtest Server 74350: speedtest.innovationtelecomunicaciones.com,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
38.191.197.253,4,24,Ookla Speedtest Server 74393: speedtest-bmanga01.tvymas.co,CO,Americas,Latin America and the Caribbean,Colombia,Santander Department,,Bucaramanga
