reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
190.167.220.185,4,153071,DNS Server: 185.220.167.190.l.static.claro.net.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
45.176.92.58,4,3187258,DNS Server: ipv4-92-58.exito-vision.net,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.156.235.163,4,-3631,Ookla Speedtest Server 16903: speedtest.fiventdominicana.com,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
201.229.143.108,4,-3,Ookla Speedtest Server 26393: sti.speed.com.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
45.229.32.11,4,16,Ookla Speedtest Server 26452: speedtest.golddata.net.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
45.176.92.26,4,-602,Ookla Speedtest Server 34454: speedtest.exitovision.net,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.190.107.204,4,-19908,Ookla Speedtest Server 45272: speedtest.nuconex.com.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
191.101.38.27,4,-7,Ookla Speedtest Server 54428: speedtest.orbiteksrl.com,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.159.232.82,4,0,Ookla Speedtest Server 56187: reyconnect.ddns.net,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.158.80.31,4,-12,Ookla Speedtest Server 57179: speedtest.lirecom.com.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,
45.176.93.217,4,25753794,Ookla Speedtest Server 67754: speedtest.proiprd.com,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.110.44.255,4,-2,Ookla Speedtest Server 67823: speedtest.pygtelecom.com,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.190.107.236,4,-18,Ookla Speedtest Server 69996: speedtest.fctecnology.com.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.52.223.163,4,106284,Ookla Speedtest Server 70629: speedtest.jairolnetworks.com,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
200.35.151.6,4,-9,Ookla Speedtest Server 73847: speedtest-santo-domingo.fibex.do,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
38.156.236.50,4,-381,Ookla Speedtest Server 74303: speedtest.wayneservices.net,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
190.124.66.206,4,505525,Ookla Speedtest Server: speedtestmini.tricom.net,DO,Americas,Latin America and the Caribbean,Dominican Republic,Nacional,,Santo Domingo
