reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
177.229.198.250,4,446,circusbowl.com.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Torreón
187.216.41.205,4,25829,DNS Server: customer-187-216-41-205.uninet-ide.com.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Saltillo
45.5.92.94,4,6540,DNS Server: mva.nrtmexico.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,San Juan de Sabinas
45.5.94.206,4,762,DNS Server: slw.nrtmexico.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Saltillo
201.132.200.114,4,4,Ookla Speedtest Server 3547: speedtest.torreon.megared.net.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Torreón
187.244.33.10,4,-5,Ookla Speedtest Server 17297: speedtest.sllo.megared.net.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Saltillo
138.185.226.2,4,-2,Ookla Speedtest Server 25775: speedtest.spectro.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Saltillo
187.190.126.66,4,-2,Ookla Speedtest Server 50633: torreon.speedtest.totalplay.com.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Torreón
201.132.200.116,4,0,Ookla Speedtest Server 64127: speedtest.gpa.megared.net.mx,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,Torreón
201.174.140.2,4,9,Ookla Speedtest Server 69110: speedtest-qro100g.transtelco.net,MX,Americas,Latin America and the Caribbean,Mexico,Coahuila,,
