reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
161.132.74.176,4,-266,apj.org.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
143.137.145.212,4,-1759137104,DNS Server: 143137145212.gtdperu.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
87.121.99.23,4,15,DoH server: dnscry.pt-lima02-ipv4,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.12.78.150,4,9451,Ookla Speedtest Server 3852: medidor1.optical.com.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.237.52.139,4,1,Ookla Speedtest Server 4839: ookla-lol01.movistar.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
38.199.4.123,4,-3,Ookla Speedtest Server 12366: speedtest.euronet.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
200.121.120.150,4,14,Ookla Speedtest Server 13823: speedtest.heruqpsac.net,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.83.60.14,4,0,Ookla Speedtest Server 14211: speedtest.adntelecom.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
181.176.254.109,4,-3316,Ookla Speedtest Server 14577: speedtest.bitel.com.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
45.5.71.10,4,-5,Ookla Speedtest Server 15462: medidor.win.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.43.249.148,4,0,Ookla Speedtest Server 18494: ookla-sis02.movistar.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.43.249.146,4,369,Ookla Speedtest Server 18495: ookla-was2.movistar.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.237.52.153,4,-1,Ookla Speedtest Server 19067: ookla-sbo01.movistar.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
200.215.228.4,4,-3,Ookla Speedtest Server 22810: speedtest.gpon.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
200.25.44.29,4,-7,Ookla Speedtest Server 33949: spt-lim.edgeuno.com,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
190.237.52.133,4,0,Ookla Speedtest Server 41583: ookla-sis01.movistar.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
200.115.20.33,4,17,Ookla Speedtest Server 43557: sp1.totalnet.pe,PE,Americas,Latin America and the Caribbean,Peru,Lima Province,,Lima
