reflector_ip,ip_version,description,country_code,country_name,region,sub_region
67.225.186.54,4,cancuniairport.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
67.225.186.23,4,carhenge.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.200.55,4,carolroth.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.230.251,4,columban.org,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.230.73,4,cronicajalisco.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
67.225.186.76,4,dyrectory.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.230.56,4,honda.mx,PR,Puerto Rico,Americas,Latin America and the Caribbean
199.116.57.181,4,IP SOLUTIONS INC.,PR,Puerto Rico,Americas,Latin America and the Caribbean
74.120.24.129,4,IP SOLUTIONS INC.,PR,Puerto Rico,Americas,Latin America and the Caribbean
74.120.24.81,4,IP SOLUTIONS INC.,PR,Puerto Rico,Americas,Latin America and the Caribbean
74.120.24.97,4,IP SOLUTIONS INC.,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.200.92,4,mccollcenter.org,PR,Puerto Rico,Americas,Latin America and the Caribbean
67.225.186.43,4,mycutegraphics.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
66.50.108.210,4,Ookla Speedtest server: speedtest.claropr.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
206.166.205.6,4,Ookla Speedtest server: speedtest.dmwirelesspr.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
67.225.186.101,4,salesnexus.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.230.209,4,seobrisk.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.200.24,4,taylorcounselinggroup.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
67.225.186.30,4,workoutanytime.com,PR,Puerto Rico,Americas,Latin America and the Caribbean
69.16.230.141,4,workplacefairness.org,PR,Puerto Rico,Americas,Latin America and the Caribbean
