reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
200.7.91.210,4,5,DNS Server: mail.brydenpi.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Chaguanas,,Chaguanas
200.7.92.250,4,-8,Ookla Speedtest Server 3404: speedtest.digiceltt.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Chaguanas,,Chaguanas
161.0.114.42,4,-2,Ookla Speedtest Server 7661: myspeed.rvrnetworks.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,,Princes Town
201.221.95.90,4,6,Ookla Speedtest Server 11765: st001.gd.tt,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Chaguanas,,Chaguanas
200.1.104.49,4,-17,Ookla Speedtest Server 13934: speedtest1.flowtrinidad.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,San Fernando,,La Romain
200.1.104.50,4,-8,Ookla Speedtest Server 13935: speedtest2.flowtrinidad.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,San Fernando,,La Romain
161.0.114.43,4,-18,Ookla Speedtest Server 15151: myspeed1.rvrnetworks.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,,Princes Town
161.0.114.35,4,270,Ookla Speedtest Server 15151: myspeed1.rvrnetworks.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,,Princes Town
209.94.205.47,4,2314445,Ookla Speedtest Server 16773: speedtest.tstt.net.tt,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,San Fernando,,San Fernando
161.0.114.34,4,-7,Ookla Speedtest Server 24702: myspeed2.rvrnetworks.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,,Princes Town
131.72.76.190,4,-2,Ookla Speedtest Server 27824: tt.speedtest.airlinkdc.com,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,,Princes Town
186.96.221.40,4,13,Ookla Speedtest Server 60705: speedtest01.amplia.tv,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Chaguanas,,Chaguanas
148.224.29.18,4,-29,Ookla Speedtest Server 68046: myspeed1.calatech.co,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,Borough of Arima,,Arima
196.3.132.153,4,72880,Telecommunication Services of Trinidad and Tobago 1,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,,,
196.3.132.154,4,9300,Telecommunication Services of Trinidad and Tobago 2,TT,Americas,Latin America and the Caribbean,Trinidad and Tobago,,,
