reflector_ip,ip_version,description,country_code,country_name,region,sub_region
190.64.140.243,4,Administracion Nacional de Telecomunicaciones,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.230.36,4,Administracion Nacional de Telecomunicaciones,UY,Uruguay,Americas,Latin America and the Caribbean
179.27.170.110,4,agesic.gub.uy,UY,Uruguay,Americas,Latin America and the Caribbean
190.0.136.235,4,antel.com.uy,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.79.215,4,basquetcaliente.com,UY,Uruguay,Americas,Latin America and the Caribbean
190.57.233.234,4,conlagentenoticias.com,UY,Uruguay,Americas,Latin America and the Caribbean
179.27.60.69,4,correo.com.uy,UY,Uruguay,Americas,Latin America and the Caribbean
179.27.155.68,4,dgr.gub.uy,UY,Uruguay,Americas,Latin America and the Caribbean
167.56.90.91,4,dnsii.net,UY,Uruguay,Americas,Latin America and the Caribbean
190.57.233.230,4,elciudadanoweb.com,UY,Uruguay,Americas,Latin America and the Caribbean
139.99.165.183,4,fastcheapwebsites.co.uk,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.42.59,4,lanuevaseguros.com.ar,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.79.224,4,observacom.org,UY,Uruguay,Americas,Latin America and the Caribbean
190.64.41.130,4,penta-transaction.com,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.202.189,4,poderjudicial.gub.uy,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.79.205,4,quimicacenit.uy,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.113.107,4,recarga.com.uy,UY,Uruguay,Americas,Latin America and the Caribbean
45.58.113.196,4,soft112.com,UY,Uruguay,Americas,Latin America and the Caribbean
67.225.214.111,4,strada.com.uy,UY,Uruguay,Americas,Latin America and the Caribbean
200.40.79.217,4,tecnomadera.com,UY,Uruguay,Americas,Latin America and the Caribbean
