reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
190.73.79.33,4,-186813494,DNS Server: 190.73-79-33.dyn.dsl.cantv.net,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,San Joaquín
190.73.82.211,4,2262,DNS Server: 190.73-82-211.dyn.dsl.cantv.net,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,San Joaquín
200.90.124.139,4,1831,DNS Server: 200.90.124-139.dyn.dsl.cantv.net,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Miranda
45.166.19.57,4,31781,DNS Server: 45.166.19.57-dyn.dns1.catelca.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,
191.97.19.174,4,-18,Ookla Speedtest Server 10004: speedtest.wifisolution.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,
38.254.104.42,4,-3,Ookla Speedtest Server 49826: cua.wifitelrva.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Cúa
45.186.211.125,4,-5,Ookla Speedtest Server 56547: speedabatuy.daycomve.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Charallave
179.63.36.72,4,-2,Ookla Speedtest Server 58247: testookla.powerlink.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Los Teques
38.121.214.123,4,32,Ookla Speedtest Server 68265: speedtest.tuconnext.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Cúa
190.97.254.98,4,7091,Ookla Speedtest Server 70864: speedtestcharallave.tuconnext.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Charallave
92.118.182.30,4,-22513,Ookla Speedtest Server 71397: speed.soluciontv555.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,
190.97.254.100,4,2503,Ookla Speedtest Server 72082: speedtestcharallave2.tuconnext.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Charallave
200.108.190.11,4,-12,Ookla Speedtest Server 72107: speedtest.gigatelweb.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Guarenas
170.81.147.114,4,3,Ookla Speedtest Server 72980: speedtestcaracas1.datalink.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,
45.137.15.254,4,-10,Ookla Speedtest Server 74165: ookla.protecnonetworks.com,VE,Americas,Latin America and the Caribbean,Venezuela,Miranda,,Miranda
