reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
156.236.165.61,4,7034,gzbbgy.com,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
45.169.140.14,4,-2,Ookla Speedtest Server 34409: speedtest.freshtechs.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
45.187.92.105,4,-4,Ookla Speedtest Server 36944: speedtest.maracaibonet.com,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
181.232.180.90,4,-1,Ookla Speedtest Server 37825: speedtest.conext.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
45.184.248.21,4,-10,Ookla Speedtest Server 38730: speed.networkspeedvzla.com,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
141.136.56.140,4,-3,Ookla Speedtest Server 43013: speed-servitelscp.ddns.net,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,
179.0.104.2,4,12,Ookla Speedtest Server 48665: speedtest.tms.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Ciudad Ojeda
38.10.250.15,4,-12,Ookla Speedtest Server 49556: speedtest-myc.tecnovenca.net,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
200.59.189.6,4,34,Ookla Speedtest Server 50418: speedtest.totalcom.tel,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
181.233.89.119,4,-5,Ookla Speedtest Server 53107: speedtest.interancha.net,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Cabimas
45.186.203.114,4,-9,Ookla Speedtest Server 53826: speedtest2.fulldata.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
45.179.164.186,4,-4,Ookla Speedtest Server 55405: speedtest.icarosoft.com,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
38.252.184.3,4,-10,Ookla Speedtest Server 60344: cabimas.4net.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
38.41.188.170,4,-4,Ookla Speedtest Server 65291: stval01.colnetwork.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Cabimas
181.233.90.10,4,10,Ookla Speedtest Server 65297: stcab01.colnetwork.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Cabimas
38.58.191.253,4,-6663,Ookla Speedtest Server 72113: speedtestlospuertos.navegante.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Los Puertos de Altagracia
38.10.248.248,4,7,tecnovenstore.com.ve,VE,Americas,Latin America and the Caribbean,Venezuela,Zulia,,Maracaibo
