reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
64.34.22.63,4,8,211oc.org,CA,Americas,Northern America,Canada,Ontario,,Toronto
151.101.127.10,4,2,24petwatch.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
167.99.180.108,4,-4,49thshelf.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
209.42.24.44,4,1,aalberts-ips.us,CA,Americas,Northern America,Canada,Ontario,,Toronto
192.250.237.73,4,-1,aavw.org,CA,Americas,Northern America,Canada,Ontario,,Toronto
66.102.132.50,4,30,aboutasiatravel.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.105.3.223,4,6,abreadaffair.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
103.26.142.134,4,3,accesss.net,CA,Americas,Northern America,Canada,Ontario,,Toronto
143.198.32.166,4,31,acrepairandhvacnews.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
66.102.128.43,4,-3,advosys.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
104.248.104.19,4,24,afsc.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.56.221.129,4,7,agencyzed.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.56.220.53,4,5,airtindi.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
170.187.195.73,4,13,akronohiomanufacturingnews.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
103.26.143.172,4,0,albertacf.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
5.149.253.41,4,34663581,allofmp3.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
139.177.199.205,4,11,amazingbridalshowers.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
209.38.1.61,4,-2,amresupply.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.72.186.94,4,-25,anarc.at,CA,Americas,Northern America,Canada,Ontario,,Toronto
139.177.199.201,4,4,anarchymoney.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
192.250.237.125,4,2,angryasianman.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
159.203.25.135,4,6,annickpress.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
209.42.25.122,4,21,anolink.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
167.99.179.49,4,17,anuko.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.105.20.198,4,32,apparentsoft.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
138.197.157.82,4,1,arsenalpulp.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.105.106.250,4,40,arvfurnitureflyer.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
159.203.18.93,4,2242808,asteriskdocs.org,CA,Americas,Northern America,Canada,Ontario,,Toronto
103.26.143.223,4,6,audiria.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
208.79.218.194,4,6,australiaunwrapped.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
200.7.102.20,4,-4,avenacubana.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.105.21.143,4,-2,aworldglobalnews.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
69.42.58.99,4,-10,backcountryskiingcanada.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
192.250.237.151,4,-24,bannedthought.net,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.56.222.230,4,304,barne.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.56.217.54,4,-25,batashoemuseum.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.96.178.186,4,13,bay12games.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
216.7.90.28,4,4,bayobserver.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
142.93.154.44,4,-20,bcpharmacy.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
159.203.45.239,4,31,bddiesel.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
96.45.195.6,4,-3,beanfield.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
45.114.226.59,4,13,beechwoodottawa.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
176.100.161.165,4,44,bellmts.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
172.105.11.234,4,4,benroproperties.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
178.128.226.215,4,3,beste-wettanbieter.world,CA,Americas,Northern America,Canada,Ontario,,Toronto
209.38.8.229,4,-9,biblioottawalibrary.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
159.203.54.99,4,9,biblioottawalibrary.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
165.227.38.202,4,-34,bingojokes.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
139.177.195.201,4,14,biographi.ca,CA,Americas,Northern America,Canada,Ontario,,Toronto
66.102.132.74,4,5,biroco.com,CA,Americas,Northern America,Canada,Ontario,,Toronto
