reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
72.55.152.108,4,1002,aeromontreal.ca,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.165.6,4,7,childfindofamerica.org,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.143.234,4,353,comidamexicana.com,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.186.66,4,59,cursillos.ca,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.176.76,4,13,iconocast.com,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.186.22,4,18,imemo.ca,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.184.89,4,4,marvunapp.com,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.137.57,4,61,pokerfraudalert.com,CA,Americas,Northern America,Canada,Ontario,,Waterloo
72.55.137.207,4,17,ucaldas.edu.co,CA,Americas,Northern America,Canada,Ontario,,Waterloo
129.97.115.207,4,4,wusa.ca,CA,Americas,Northern America,Canada,Ontario,,Waterloo
