reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
216.239.136.99,4,-29,dataconnectors.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.100.58,4,7,hebeiltd.com.cn,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.109.80,4,4,hotexamples.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
216.239.130.210,4,25,omnis.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
170.64.4.2,4,-1,Ookla Speedtest Server 57433: tem11-speedtest01.as15108.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.97.88,4,16,produkte24.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
216.17.102.188,4,5,retailreviews.net,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.107.150,4,-21,roadragenz.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
66.37.3.122,4,0,snvrha.org,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.108.188,4,16,transterrestrial.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
64.6.100.146,4,9,who-sells-it.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
216.17.105.150,4,6,youblisher.com,US,Americas,Northern America,United States of America,Arizona,,Tempe
