reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
63.249.82.5,4,2956919,baymoon.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.102.141,4,4,brianwillson.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
50.0.71.18,4,-450472,langston.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.102.84,4,9,lutherie.net,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.102.42,4,-13,midnightbeach.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.81.42,4,-3,missionstclare.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.103.88,4,-23,nlpu.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.83.66,4,-4,Ookla Speedtest Server 6349: ospeed1.cruzio.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.102.214,4,0,pdas.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.103.71,4,7,rpbourret.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.81.124,4,2,swantonberryfarm.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.103.233,4,16,tubecad.com,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.102.74,4,11,worldprayers.org,US,Americas,Northern America,United States of America,California,,Santa Cruz
63.249.103.215,4,5,worldwithoutoil.org,US,Americas,Northern America,United States of America,California,,Santa Cruz
