reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
169.60.232.154,4,5,careersingear.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.232.153,4,2,careersingear.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.224.190,4,-4,cinescopia.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.60.118,4,25,cruisecompete.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.108.19,4,9,dharma.org,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.232.171,4,107749,dmtmag.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.35.131,4,2,iphonefaq.org,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.78.85,4,3616,mon-bebe.ma,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.31.237,4,3,mujerde10.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.66.224,4,5,nastar.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.39.100,4,5,preserveproducts.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.48.10,4,13,thehistoryofart.org,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.37.100,4,-21,thepixelproject.net,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
169.60.65.68,4,34,topusajobs.com,US,Americas,Northern America,United States of America,Florida,,Lehigh Acres
