reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
50.150.217.72,4,-31,bethel.edu,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.159.21,4,31,cinequest.org,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
4.4.81.123,4,-2,codeweavers.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.151.130,4,-436,fusioncash.net,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.159.82,4,26,gearsoftware.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
160.94.21.6,4,22,mndigital.org,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.148.59,4,26,muscogeenation.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
198.144.12.252,4,16,Ookla Speedtest Server 17524: fargo.ookla.enventis.net,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
69.54.32.20,4,-2,Ookla Speedtest Server 41398: speedtest.implex.net,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
184.105.55.242,4,-4,Ookla Speedtest Server 50589: speedtest-fcc.sdncommunications.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
209.23.153.212,4,-1,robertbly.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.148.37,4,0,samicone.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.148.54,4,0,schugwinery.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
64.62.159.4,4,-4,the-light.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
4.4.81.124,4,-1,winehq.com,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
76.17.136.215,4,12,xfs.org,US,Americas,Northern America,United States of America,Minnesota,,Minneapolis
