reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
152.3.103.45,4,-10,alban.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.67.223,4,4,americanindiancoc.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
162.223.10.61,4,7,auctionblox.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.160.32,4,2,cmosurvey.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
199.48.130.6,4,-22,dict.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
162.217.114.56,4,13,digitalmars.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
98.24.59.42,4,24012,DNS Server: cpe-98-24-59-42.carolina.res.rr.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.64.117,4,-3,DoH server: dnscry.pt-durham-ipv4,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.103.186,4,0,faithandleadership.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.103.67,4,1,fullframefest.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
199.233.231.2,4,-57554,hardenedbsd.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.65.32,4,12,hdtimeline.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.66.152,4,-8,helloworld.in,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.80.200,4,-3,morphosource.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
130.250.176.178,4,10,mozcom.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.71.145,4,3,nyhavana.mg,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.19.255.126,4,2,Ookla Speedtest Server 14774: ookla.net.unc.edu,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.101.108,4,3,Ookla Speedtest Server 29113: speedtest.oit.duke.edu,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.103.234,4,23,reporterslab.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
216.27.28.88,4,32,rizzolibookstore.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.103.125,4,4,sceneonradio.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
216.27.28.10,4,11,semcoop.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
152.3.101.125,4,9,snccdigital.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
199.48.128.150,4,31,snert.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
199.233.228.154,4,10,ssdrc.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
208.86.224.90,4,11,textfiles.com,US,Americas,Northern America,United States of America,North Carolina,,Durham
208.79.82.66,4,13,trilug.org,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.71.139,4,18,trivoo.net,US,Americas,Northern America,United States of America,North Carolina,,Durham
130.250.176.194,4,2553,unification.net,US,Americas,Northern America,United States of America,North Carolina,,Durham
216.27.29.56,4,3,zerobeat.net,US,Americas,Northern America,United States of America,North Carolina,,Durham
38.45.66.166,4,13,zirvede.net,US,Americas,Northern America,United States of America,North Carolina,,Durham
