reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
140.211.10.233,4,12,buildbot.net,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.15.129,4,-31,crosstool-ng.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.166.85,4,-11,darcs.net,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.15.97,4,-22,elgg.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.167.12,4,-1,enlightenment.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.9.79,4,-1,inkscape.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.166.10,4,-14,mythtv.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.167.216,4,0,mythtv.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
128.193.34.5,4,6,nacse.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.167.15,4,5,ohiolinux.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
128.193.164.101,4,-2,oregondigital.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
128.193.164.100,4,3,oregondigital.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.9.122,4,36,personaltelco.net,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.15.4,4,12,qemu.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.10.170,4,13,rtems.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.167.245,4,16,sfconservancy.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
140.211.167.4,4,3,theforeman.org,US,Americas,Northern America,United States of America,Oregon,,Corvallis
