reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
192.71.234.28,4,144994,audiocoding.com,US,Americas,Northern America,United States of America,Montana,,
47.47.144.22,4,-5836,DNS Server: 047-047-144-022.inf.spectrum.com,US,Americas,Northern America,United States of America,Montana,,Bozeman
72.175.8.77,4,21611934,DNS Server: 072-175-008-077.res.spectrum.com,US,Americas,Northern America,United States of America,Montana,,Kalispell
98.127.131.151,4,-40589,DNS Server: 098-127-131-151.biz.spectrum.com,US,Americas,Northern America,United States of America,Montana,,Helena
69.51.79.13,4,21,DNS Server: 69.51.79-13.cutcom.net,US,Americas,Northern America,United States of America,Montana,,Whitehall
72.250.158.168,4,2869229,DNS Server: 72-250-158-168.midrivers.com,US,Americas,Northern America,United States of America,Montana,,Savage
69.144.192.226,4,-583223,Ookla Speedtest Server 5858: spt01msslmt.mssl.mt.charter.com,US,Americas,Northern America,United States of America,Montana,,Helena
216.228.32.255,4,153,Ookla Speedtest Server 17120: speedtest.midrivers.com,US,Americas,Northern America,United States of America,Montana,,Glendive
216.211.191.101,4,259,Ookla Speedtest Server 52759: howfast.montanasky.net,US,Americas,Northern America,United States of America,Montana,,Kalispell
206.127.64.87,4,221,Ookla Speedtest Server: speedtest.mt.net,US,Americas,Northern America,United States of America,Montana,,Helena
108.174.112.144,4,63,Ookla Speedtest Server: speedtest3.grizzlybb.net,US,Americas,Northern America,United States of America,Montana,,Stevensville
