reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
129.170.224.138,4,-3,dartmouth.edu,US,Americas,Northern America,United States of America,New Hampshire,,Hanover
159.250.13.24,4,19,delorie.com,US,Americas,Northern America,United States of America,New Hampshire,,Bristol
69.201.9.74,4,-10367,DNS Server: cpe-69-201-9-74.twcny.res.rr.com,US,Americas,Northern America,United States of America,New Hampshire,,Lancaster
74.74.84.177,4,-8792,DNS Server: cpe-74-74-84-177.stny.res.rr.com,US,Americas,Northern America,United States of America,New Hampshire,,Conway
64.223.217.10,4,-3,DNS Server: edia-64-223-217-10.static.ngn.east.myfairpoint.net,US,Americas,Northern America,United States of America,New Hampshire,,Moultonborough
204.14.84.170,4,-274,hummingbirds.net,US,Americas,Northern America,United States of America,New Hampshire,,Salem
72.64.11.163,4,3215813,jazzhouse.org,US,Americas,Northern America,United States of America,New Hampshire,,Seabrook
70.109.168.187,4,14,Ookla Speedtest Server 19688: speedtestburl.consolidated.com,US,Americas,Northern America,United States of America,New Hampshire,,Merrimack
216.177.1.27,4,49,Ookla Speedtest Server 28870: speedtest.fibercast.net,US,Americas,Northern America,United States of America,New Hampshire,,Colebrook
70.109.168.233,4,0,Ookla Speedtest Server 69057: speedtest.vt.mycci.net,US,Americas,Northern America,United States of America,New Hampshire,,Merrimack
199.21.102.6,4,17,Ookla Speedtest Server 72757: speedtest.netafy.com,US,Americas,Northern America,United States of America,New Hampshire,,Franconia
