reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
76.210.190.151,4,3,asonix.dog,US,Americas,Northern America,United States of America,Texas,,Austin
24.28.97.72,4,7669,DNS Server: mta-24-28-97-72.tx.rr.com,US,Americas,Northern America,United States of America,Texas,,Austin
24.227.222.89,4,1975962,DNS Server: rrcs-24-227-222-89.sw.biz.rr.com,US,Americas,Northern America,United States of America,Texas,,Austin
71.42.222.242,4,-39020503,DNS Server: rrcs-71-42-222-242.sw.biz.rr.com,US,Americas,Northern America,United States of America,Texas,,Austin
146.6.162.200,4,4,eskeletons.org,US,Americas,Northern America,United States of America,Texas,,Austin
136.62.35.46,4,16,isthisthingon.org,US,Americas,Northern America,United States of America,Texas,,Austin
130.250.7.26,4,4621464,kellerwilliams.com,US,Americas,Northern America,United States of America,Texas,,Austin
130.250.4.191,4,3,onlineagency.com,US,Americas,Northern America,United States of America,Texas,,Austin
146.6.21.55,4,210,Ookla Speedtest Server 16089: speedtest.network.utexas.edu,US,Americas,Northern America,United States of America,Texas,,Austin
136.49.119.86,4,42,possumpat.io,US,Americas,Northern America,United States of America,Texas,,Austin
146.6.162.203,4,4,spanishintexas.org,US,Americas,Northern America,United States of America,Texas,,Austin
207.207.49.184,4,6,temtrack.com,US,Americas,Northern America,United States of America,Texas,,Austin
146.6.162.220,4,42,texasbeyondhistory.net,US,Americas,Northern America,United States of America,Texas,,Austin
24.155.185.71,4,-2,tmlt.org,US,Americas,Northern America,United States of America,Texas,,Austin
128.83.214.52,4,2,txarchives.org,US,Americas,Northern America,United States of America,Texas,,Austin
