reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
76.247.108.65,4,3,007re.net,US,Americas,Northern America,United States of America,Texas,,Houston
205.251.145.41,4,2,alpinezone.com,US,Americas,Northern America,United States of America,Texas,,Houston
74.81.89.30,4,839,automobile.com,US,Americas,Northern America,United States of America,Texas,,Houston
151.101.181.193,4,3,bakerinstitute.org,US,Americas,Northern America,United States of America,Texas,,Houston
74.81.95.179,4,26,borrett.id.au,US,Americas,Northern America,United States of America,Texas,,Houston
74.81.95.98,4,49,casablancabridal.com,US,Americas,Northern America,United States of America,Texas,,Houston
205.251.150.91,4,3,cmll.com,US,Americas,Northern America,United States of America,Texas,,Houston
205.251.155.191,4,3,decamiones.com,US,Americas,Northern America,United States of America,Texas,,Houston
173.11.131.1,4,2710,DNS Server: 173-11-131-1-houston.txt.hfc.comcastbusiness.net,US,Americas,Northern America,United States of America,Texas,,Houston
198.0.90.186,4,26158363,DNS Server: 198-0-90-186-static.hfc.comcastbusiness.net,US,Americas,Northern America,United States of America,Texas,,Houston
96.85.8.185,4,5,DNS Server: 96-85-8-185-static.hfc.comcastbusiness.net,US,Americas,Northern America,United States of America,Texas,,Houston
174.170.184.92,4,7,DNS Server: c-174-170-184-92.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.166.113.63,4,6,DNS Server: c-73-166-113-63.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.232.202.128,4,3,DNS Server: c-73-232-202-128.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.232.203.176,4,1,DNS Server: c-73-232-203-176.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.232.203.42,4,0,DNS Server: c-73-232-203-42.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.232.203.5,4,2,DNS Server: c-73-232-203-5.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.100.120,4,5,DNS Server: c-73-76-100-120.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.100.123,4,7,DNS Server: c-73-76-100-123.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.100.165,4,8,DNS Server: c-73-76-100-165.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.100.17,4,83,DNS Server: c-73-76-100-17.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.100.206,4,7,DNS Server: c-73-76-100-206.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
73.76.101.17,4,5,DNS Server: c-73-76-101-17.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
98.34.208.141,4,25,DNS Server: c-98-34-208-141.hsd1.tx.comcast.net,US,Americas,Northern America,United States of America,Texas,,Houston
205.251.153.191,4,33,ejnet.org,US,Americas,Northern America,United States of America,Texas,,Houston
66.187.76.140,4,3,electioncenter.org,US,Americas,Northern America,United States of America,Texas,,Houston
