reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
69.90.254.212,4,9,acuityads.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
66.155.9.171,4,24,afterthedeadline.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
147.189.135.64,4,-657654,buttons-for-website.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.187.191,4,2,dosafl.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
69.174.252.6,4,2,downtownlex.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.176.198,4,3,ereferencedesk.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.215.210,4,852180,iemoji.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
108.181.203.31,4,7,interbusonline.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
207.198.117.60,4,16,masonpost.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.169.111,4,-17046269,nephron.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
72.66.110.132,4,32,ouramericanvalues.org,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.181.143,4,-4,quintagroup.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.166.93,4,14,tubmanmuseum.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
66.155.9.150,4,4,underscores.me,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.182.211,4,-1,virtualglobetrotting.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
216.157.108.97,4,6,wileyrein.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.186.49,4,12,worldstadiums.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
64.34.187.136,4,7,yourdailypoem.com,US,Americas,Northern America,United States of America,Virginia,,Herndon
