reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
162.217.86.217,4,1,audiofidelity.net,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
199.195.146.143,4,1,glenoaks.edu,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
162.217.86.164,4,10,ihomeschoolnetwork.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.30.136,4,10,macminivault.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.26.90,4,9,marionrecord.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
199.102.238.171,4,-1,metrojacksonville.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
162.217.86.162,4,-14,newenergyandfuel.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.19.12,4,1,Ookla Speedtest Server 17462: mke.hostingsupport.io,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.30.186,4,3,Ookla Speedtest Server: www.mynetworkhelpdesk.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.18.237,4,3,planetsub.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.21.59,4,22,referee.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
66.185.26.120,4,0,scafabtool.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
162.221.89.144,4,-1,spiralstrategic.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
199.195.146.139,4,2,superiortrails.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
162.221.89.153,4,-2218,twelvetribes.org,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
162.217.86.213,4,17,volleyball.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
199.38.85.132,4,2,yellowdeli.com,US,Americas,Northern America,United States of America,Wisconsin,,Franklin
