reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
151.243.137.138,4,4,1win.com.mx,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
201.148.107.155,4,-2,247noticias.cl,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
186.209.113.137,4,-6,3dmaquetes.com,BR,Americas,Latin America and the Caribbean,Brazil,,,
200.152.177.46,4,4,4x4brasil.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Ribeirão Preto
195.250.27.25,4,-18,6cfn.com,MX,Americas,Latin America and the Caribbean,Mexico,Mexico City,,Mexico City
200.40.168.105,4,-5,970universal.com,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
187.45.186.42,4,511,aa.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
45.162.171.201,4,-2,aader.org.ar,AR,Americas,Latin America and the Caribbean,Argentina,,,
186.64.118.180,4,25,aarqhos.cl,CL,Americas,Latin America and the Caribbean,Chile,Maule Region,,Curicó
170.155.20.15,4,15728544,abc.gov.ar,AR,Americas,Latin America and the Caribbean,Argentina,Buenos Aires,,La Plata
200.187.70.17,4,0,abecs.org.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
62.72.63.40,4,0,abejor.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
177.10.165.118,4,-43,abiis.org.br,BR,Americas,Latin America and the Caribbean,Brazil,Santa Catarina,,Chapecó
200.187.70.232,4,0,abradi.com.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
179.190.13.200,4,-7,abree.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Jundiaí
186.219.247.201,4,11,ac.gov.br,BR,Americas,Latin America and the Caribbean,Brazil,Acre,,Rio Branco
186.219.247.202,4,-7,ac.gov.br,BR,Americas,Latin America and the Caribbean,Brazil,Acre,,Rio Branco
200.155.21.157,4,6,academia.org.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
166.0.186.28,4,-1,acaidoninja.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Vinhedo
167.250.5.65,4,6,acampante.com,AR,Americas,Latin America and the Caribbean,Argentina,,,
187.102.157.83,4,2,acaoeducativa.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
181.119.48.15,4,6,acara.org.ar,AR,Americas,Latin America and the Caribbean,Argentina,,,
201.238.235.2,4,14,acauch.cl,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
200.54.18.149,4,7,acauch.cl,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
168.181.186.107,4,11,accion.coop,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
177.155.88.19,4,31,acisji.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraná,,Londrina
200.63.97.146,4,637,acn-chile.org,CL,Americas,Latin America and the Caribbean,Chile,,,
34.151.247.78,4,14,activasite.com,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
170.80.189.10,4,-12,activite.com.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
34.176.70.135,4,-5,actualidadambiental.pe,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
200.122.217.234,4,12,ada-aero.com,CO,Americas,Latin America and the Caribbean,Colombia,Antioquia,,Medellín
66.97.44.237,4,-3,adepa.org.ar,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
179.43.122.22,4,-13,adepa.org.ar,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
177.53.143.73,4,46,adjetivocetep.com.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
187.110.165.18,4,144,adx.space,BR,Americas,Latin America and the Caribbean,Brazil,,,
107.150.167.188,4,8,aedin.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,Vinhedo
177.136.254.70,4,-34,aelesab.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
195.35.43.65,4,4,aepet.org.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
159.54.130.135,4,-8,aerounion.com.mx,MX,Americas,Latin America and the Caribbean,Mexico,Querétaro,,
187.108.200.80,4,260,aevo.com.br,BR,Americas,Latin America and the Caribbean,Brazil,,,
45.179.90.194,4,-3,agbt.com.br,BR,Americas,Latin America and the Caribbean,Brazil,São Paulo,,São Paulo
138.36.238.139,4,-32,agenciapresentes.org,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
201.148.107.86,4,5,agenciase.org,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
186.227.197.236,4,2,agenciaw3.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Paraíba,,Cabedelo
138.186.10.141,4,-10,agencychile.cl,CL,Americas,Latin America and the Caribbean,Chile,Santiago Metropolitan,,Santiago
45.162.169.47,4,15,agendasalta.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,,,
185.238.2.80,4,32,agirlsworld.com,VG,Americas,Latin America and the Caribbean,Virgin Islands British,,,
193.233.63.3,4,13,agroxxi.ru,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
200.58.98.217,4,-6,ahira.com.ar,AR,Americas,Latin America and the Caribbean,Argentina,Santa Fe,,Rosario
