reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
2.134.13.123,4,-60,1tv.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
2.134.15.10,4,-48,kpa.edu.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
212.96.77.130,4,3217232,Ookla Speedtest Server 8247: st7.tele2.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
212.96.77.131,4,-9,Ookla Speedtest Server 9028: speedtest7.altel.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
193.193.224.186,4,0,Ookla Speedtest Server 35649: shym-st.astel.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
89.218.230.38,4,-912,Ookla Speedtest Server 37161: speedtest.taraz.telecom.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
89.218.150.98,4,625,Ookla Speedtest Server 37162: speedtest.shimkent.telecom.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
89.218.223.106,4,918,Ookla Speedtest Server 37177: speedtest.uralsk.telecom.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
91.229.151.2,4,-4,Ookla Speedtest Server 54774: speedtest2.fish-net.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
92.47.181.134,4,-15,Ookla Speedtest Server 67950: speedtest.fst.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
37.150.204.218,4,-42,pavlodarnews.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
2.134.15.76,4,-32,rudnyi-altai.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
