reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
212.112.120.195,4,281,airport.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.96.88,4,6,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.96.87,4,6,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.96.89,4,30,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.18.2,4,239,DNS Server: 77-235-18-2.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.18.74,4,18904,DNS Server: 77-235-18-74.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.18.98,4,2,DNS Server: 77-235-18-98.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.27.18,4,634,DNS Server: 77-235-27-18.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.27.235,4,2282,DNS Server: 77-235-27-235.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.235.28.102,4,-3111,DNS Server: 77-235-28-102.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
92.245.114.129,4,946,DNS Server: 92-245-114-129.mega.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.42.102.209,4,62,elcat.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.42.122.145,4,319317,mineconom.gov.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.2.230.79,4,1158,Ookla Speedtest Server 5308: oosrv.myhost.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
91.192.65.166,4,204,Ookla Speedtest Server 5689: speedtest.beeline.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.105.12,4,29,patent.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.42.101.106,4,6,stat.gov.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.42.101.113,4,94,stat.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.2.227.212,4,27,vb.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
77.220.204.65,4,-4,volunteer.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
