reflector_ip,ip_version,description,country_code,country_name,region,sub_region
5.59.233.112,4,1c-kato.kg,KG,Kyrgyzstan,Asia,Central Asia
212.112.120.195,4,airport.kg,KG,Kyrgyzstan,Asia,Central Asia
212.112.96.87,4,aknet.kg,KG,Kyrgyzstan,Asia,Central Asia
212.112.96.88,4,aknet.kg,KG,Kyrgyzstan,Asia,Central Asia
212.112.96.89,4,aknet.kg,KG,Kyrgyzstan,Asia,Central Asia
195.38.168.118,4,asmi.kg,KG,Kyrgyzstan,Asia,Central Asia
212.42.119.10,4,bulbul.kg,KG,Kyrgyzstan,Asia,Central Asia
176.126.165.71,4,climatehub.kg,KG,Kyrgyzstan,Asia,Central Asia
195.38.162.93,4,data.gov.kg,KG,Kyrgyzstan,Asia,Central Asia
85.113.15.230,4,edu.gov.kg,KG,Kyrgyzstan,Asia,Central Asia
212.42.102.209,4,elcat.kg,KG,Kyrgyzstan,Asia,Central Asia
176.126.165.70,4,infodesk.kg,KG,Kyrgyzstan,Asia,Central Asia
176.126.165.32,4,islamdini.kg,KG,Kyrgyzstan,Asia,Central Asia
85.113.10.226,4,kenesh.kg,KG,Kyrgyzstan,Asia,Central Asia
81.20.16.84,4,krsu.edu.kg,KG,Kyrgyzstan,Asia,Central Asia
212.42.122.145,4,mineconom.gov.kg,KG,Kyrgyzstan,Asia,Central Asia
91.207.28.65,4,oe.kg,KG,Kyrgyzstan,Asia,Central Asia
212.112.105.12,4,patent.kg,KG,Kyrgyzstan,Asia,Central Asia
176.126.167.188,4,sputnik.kg,KG,Kyrgyzstan,Asia,Central Asia
212.42.101.106,4,stat.gov.kg,KG,Kyrgyzstan,Asia,Central Asia
212.42.101.113,4,stat.kg,KG,Kyrgyzstan,Asia,Central Asia
91.207.28.94,4,super.kg,KG,Kyrgyzstan,Asia,Central Asia
212.2.227.212,4,vb.kg,KG,Kyrgyzstan,Asia,Central Asia
77.220.204.65,4,volunteer.kg,KG,Kyrgyzstan,Asia,Central Asia
213.145.140.198,4,worldnomadgames.com,KG,Kyrgyzstan,Asia,Central Asia
