reflector_ip,ip_version,offset,description,country_code,country_name,region,sub_region
45.94.219.117,4,12,barqitojik.tj,TJ,Tajikistan,Asia,Central Asia
85.9.133.77,4,11,DNS Server: 85-9-133-77.tacom.tj,TJ,Tajikistan,Asia,Central Asia
91.218.169.86,4,2381,DNS Server: 91.218.169.86.pppoe.sa-net.tj,TJ,Tajikistan,Asia,Central Asia
193.111.11.11,4,1969,dushanbe.tj,TJ,Tajikistan,Asia,Central Asia
217.11.176.155,4,-3333235,eshop.tj,TJ,Tajikistan,Asia,Central Asia
79.170.188.73,4,-17,fft.tj,TJ,Tajikistan,Asia,Central Asia
77.95.1.66,4,-61,kgu.tj,TJ,Tajikistan,Asia,Central Asia
193.111.11.3,4,3156,migration.tj,TJ,Tajikistan,Asia,Central Asia
185.42.97.8,4,139,Ookla Speedtest Server 15941: speedtest.tcell.tj,TJ,Tajikistan,Asia,Central Asia
46.20.203.250,4,-1089,Ookla Speedtest Server 47558: speedtest.babilon-m.com,TJ,Tajikistan,Asia,Central Asia
91.218.162.70,4,-6,prezident.tj,TJ,Tajikistan,Asia,Central Asia
77.95.1.73,4,-64,rtsu.tj,TJ,Tajikistan,Asia,Central Asia
77.95.1.68,4,-68,tnu.tj,TJ,Tajikistan,Asia,Central Asia
62.122.141.201,4,-20,zeppelin.tj,TJ,Tajikistan,Asia,Central Asia
