reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
211.97.142.108,4,-22,crystalradio.cn,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
120.35.8.172,4,72836,fjipe.cn,CN,Asia,Eastern Asia,China,Fujian,,Sanming
120.35.5.146,4,329712,fjsl.com.cn,CN,Asia,Eastern Asia,China,Fujian,,Sanming
112.111.20.208,4,814,fzrjxy.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
112.50.95.196,4,-3,gopptdf823.bjzfsl.com,CN,Asia,Eastern Asia,China,Fujian,,Ningde
222.76.205.159,4,12,jmu.edu.cn,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
36.249.64.128,4,-21,lawinfochina.com,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
36.249.64.131,4,38,loveliao.com,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
47.122.62.226,4,22,noxcleaner.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
36.249.64.204,4,14,pkulaw.com,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
120.41.45.100,4,-4176109182,safedog.cn,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
218.85.133.171,4,2,shipgce.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
47.122.45.141,4,9,sxxcw.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
218.85.132.20,4,-24,taihainet.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
36.249.64.92,4,-11,universitychina.net,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
218.85.133.164,4,4,us-ex.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
222.76.215.221,4,58,wuyou.net,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
220.161.80.166,4,1056,xujc.com,CN,Asia,Eastern Asia,China,Fujian,,Fuzhou
36.249.64.237,4,-41,zentao.net,CN,Asia,Eastern Asia,China,Fujian,,Xiamen
