reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
210.172.222.76,4,20,aichi-p.co.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.97,4,7,curves.co.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.210.64,4,538,eseven.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.66,4,4,fmgifu.com,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.113,4,6,greenpeace.or.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.64,4,11,hataya.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.93,4,12,japan-net.ne.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.65,4,-12,keizaikai.co.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.210.90,4,6,linimo.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.223.67,4,17,softopia.or.jp,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
210.172.222.107,4,-8,trip-kamakura.com,JP,Asia,Eastern Asia,Japan,Gifu,,Kamiaso
