reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
133.242.50.140,4,5,9db.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.51.119,4,3,antenam.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.54.87,4,11,anybeats.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.52.104,4,8,aspicjapan.org,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.159.68.163,4,-7,bigmotor.co.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.52.43,4,4,bita.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.159.68.84,4,10,cosmowater.com,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
153.246.140.138,4,700,dragonfire.net,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.49.33,4,17,fccj.or.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.54.131,4,4,lotas.co.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.49.44,4,2,lqd.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.50.42,4,23,spo-sta.com,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
133.242.51.145,4,0,tokyozeirishikai.or.jp,JP,Asia,Eastern Asia,Japan,Kanagawa,,Karasawa
