reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
153.126.217.67,4,-9,30min.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.176.121,4,-2,artemisquartz.com,JP,Asia,Eastern Asia,Japan,Aichi,,
210.196.200.173,4,2,atca.info,JP,Asia,Eastern Asia,Japan,Aichi,,Toyota
153.126.180.160,4,-6,atdot.net,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.180.191,4,-1,bea-net.com,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.191.106,4,-2,chinzei-gakuin.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.177.103,4,-7,cocoloba.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
125.53.88.66,4,-20,ditgroup.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Toyota
223.29.51.118,4,-2146872952,DNS Server: 223-29-51-118.dc.ctc.ad.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
117.74.38.123,4,-4,DNS Server: d-117-74-38-123.ftth.katch.ne.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Anjo
160.86.109.33,4,-2147483707,DNS Server: ipa0566d21.ap.nuro.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
153.126.186.223,4,13,dokushojin.com,JP,Asia,Eastern Asia,Japan,Aichi,,
223.29.45.36,4,-284,eei.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
153.126.187.204,4,-7,fben.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.189.228,4,0,figsoku.net,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.179.203,4,-7,fmnagasaki.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
202.236.168.58,4,400,fujita-hu.ac.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
113.146.131.98,4,-3,housetec.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Kasugai
153.126.177.251,4,20,hustle.ne.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
223.29.57.122,4,-13,imao.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
153.126.191.70,4,9,interfm.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.217.44,4,7,ja-ashikita.com,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.184.202,4,0,jfd.or.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.190.23,4,-5,kodomo-qq.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.179.72,4,-4,kutv.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,
153.126.186.35,4,-18,misscolle.com,JP,Asia,Eastern Asia,Japan,Aichi,,
210.149.76.253,4,-2,nipc.or.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
219.166.143.221,4,0,nippon1.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Okazaki
210.196.200.101,4,-14,nmai.org,JP,Asia,Eastern Asia,Japan,Aichi,,Toyota
210.146.64.8,4,-7,openlab.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Toyohashi
153.126.186.71,4,19,romanticmura.com,JP,Asia,Eastern Asia,Japan,Aichi,,
183.180.26.19,4,21,transformsite.com,JP,Asia,Eastern Asia,Japan,Aichi,,Tōkai
210.196.200.163,4,247,tsugarubrand.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Toyota
153.126.186.40,4,-1,yoshino-gypsum.com,JP,Asia,Eastern Asia,Japan,Aichi,,
202.150.54.8,4,1,zoo.co.jp,JP,Asia,Eastern Asia,Japan,Aichi,,Nagoya
