reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
172.93.223.48,4,-33,aytacproperties.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
122.213.146.19,4,0,choya.co.jp,JP,Asia,Eastern Asia,Japan,Hyōgo,,Kobe
195.88.154.11,4,-9,DNS Server: ns.agbryansk.ru,JP,Asia,Eastern Asia,Japan,Hyōgo,,
210.255.213.87,4,-50,kosokubus.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,Amagasaki
103.100.158.154,4,14452,local-9game.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
122.213.191.146,4,1,megasoft.co.jp,JP,Asia,Eastern Asia,Japan,Hyōgo,,Kobe
209.146.123.56,4,-23,Ookla Speedtest Server 69575: ty-bgp-speedtest.nearoute.io,JP,Asia,Eastern Asia,Japan,Hyōgo,,
113.37.61.58,4,29,otsukael.jp,JP,Asia,Eastern Asia,Japan,Hyōgo,,Aioichō
172.93.223.155,4,27764999,pavitrajyotish.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
172.93.223.99,4,124820,ptsdubai.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
210.136.72.122,4,-11,ribbon.to,JP,Asia,Eastern Asia,Japan,Hyōgo,,Kobe
210.255.213.97,4,-127,tabione.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,Amagasaki
116.206.93.88,4,27121,zh-h5-jiuyougame.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
103.100.158.195,4,14967,zh-home-aiyouxiapp.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
103.100.158.197,4,16018,zh-vip-haixingtv.com,JP,Asia,Eastern Asia,Japan,Hyōgo,,
