reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
133.242.141.113,4,5,13hw.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.208,4,3,2game.info,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.183.95,4,1,98-shop.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.229.246,4,9,acros.or.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.135,4,5,actnow.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.174.165,4,11,akibare-hp.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.197.78,4,1,an-era.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.144.29,4,0,atode.cc,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.201.183,4,7,biyoukenkou.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.33,4,34,biyoumatome.info,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.206.203,4,4,chubun.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.221.57,4,6,clair.or.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.163.233,4,1,daemon-systems.org,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.154.102,4,3,derekbarrera.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.221.222,4,0,discovery-japan.me,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.144.60,4,24,driver-tenshoku.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.237.235,4,2,eyado.net,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.180.114,4,4,fukkan.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.148.42,4,8,g-paz.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.140.103,4,22,gamesjp.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.190.150,4,-7364,hachune.net,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.27,4,1,hoiku-shigoto.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.164.33,4,1,hokto.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.145.182,4,6,html5.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.152.129,4,17,japias.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.165.89,4,1,jcss.gr.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.220.121,4,67,jetprogramme.org,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.209.55,4,-1,jig.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.182.172,4,-1,jmatch.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.186.147,4,6,jodo.or.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.195.38,4,5,junbie.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.201.87,4,2,kaimonocart.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.196.172,4,34,kanaginohana.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.154.244,4,6,kanazawa21.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.162.228,4,2,kcn-net.org,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.207.142,4,18,kogumasha.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.176.187,4,6,kungfuapps.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.157.41,4,7,kyoto-design.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.230.121,4,2,kyoto-ramen-koji.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.152.27,4,-3,libspark.org,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.214.252,4,18,mamanic.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.163.114,4,4,marronniergate.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.178.129,4,19,media-radar.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.211.180,4,2,minim.ne.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.196.211,4,5,moderatescene-shop.net,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.155.60,4,11,nagasakidejima.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.193.37,4,3,natularose.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.178.27,4,40,newsformat.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.228.47,4,0,no-maps.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.168.123,4,6,parker.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.164.116,4,37,principle.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.199.242,4,59,prosports-shop.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.199.206,4,16,purefield.biz,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.141.208,4,40,rairaitei.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.168.33,4,4,sapporo-cyclone.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.230.161,4,6,shibuya-naika.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.143.168,4,15,shillest.net,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.201.157,4,0,shop-vida.com,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.154.188,4,3,showado-kyoto.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.158.208,4,31,starblog.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.210.249,4,1,tanakajimaru.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.234.151,4,2,tokachigawa.net,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.13,4,7,tvac.or.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.195.180,4,175830,vip-times.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.184.30,4,3,vipo.or.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.175.226,4,4,wachi.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.225.252,4,6,watarium.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.162.62,4,0,watersprings.org,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.224.235,4,2,webtech.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.233.33,4,15,webu.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
133.242.134.75,4,2,ybc.co.jp,JP,Asia,Eastern Asia,Japan,Saitama,,Tokorozawa
