reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
202.238.204.156,4,19,1242.com,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.157,4,5,allnightnippon.com,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.150,4,-7,bookoffonline.co.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.151,4,47,bookoffonline.co.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.179,4,26,cyberagent.co.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
182.171.84.149,4,4,hondana.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.159,4,3,jolf.co.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
202.238.204.79,4,14,qunie.com,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
182.171.84.150,4,20,subarusya.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
153.153.171.147,4,0,toa.co.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
153.153.171.148,4,6,toa.jp,JP,Asia,Eastern Asia,Japan,Tokyo,,Adachi
