reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
202.131.237.247,4,127950,baabar.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.113.32,4,780191,baabar.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
202.131.250.226,4,53832,bolor-toli.com,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
202.55.176.10,4,51898994,DNS Server: ns.skycc.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
202.55.176.11,4,57644638,DNS Server: ns1.skycc.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.25,4,0,erdenet.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.113.150,4,-14,esm.edu.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.138,4,647,ikhsoyod.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.70,4,779,iqmuseum.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.69,4,-17,izmone.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
202.21.99.42,4,-35,Mobinet LLC. AS Mobinet Internet Service Provider 1,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
202.131.237.150,4,-81,mongolchamber.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.113.105,4,7,ncm.edu.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.75,4,-16,nubia.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
66.181.173.107,4,-74,Ookla Speedtest Server 58735: speedtest3.univision.mn,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
66.181.167.232,4,45305,The first E-commerce and TriplePlay Service ISP in Mongolia.,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
43.231.112.93,4,-20,wonder-mongolia.com,MN,Asia,Eastern Asia,Mongolia,Ulaanbaatar,,Ulan Bator
