reflector_ip,ip_version,offset,description,country_code,country_name,region,sub_region
85.131.197.37,4,-11,00m.in,JP,Japan,Asia,Eastern Asia
133.167.35.214,4,4,012grp.co.jp,JP,Japan,Asia,Eastern Asia
183.90.240.18,4,-2,0zero.jp,JP,Japan,Asia,Eastern Asia
222.230.108.124,4,287,1000.tv,JP,Japan,Asia,Eastern Asia
157.112.152.41,4,0,1000enpark.com,JP,Japan,Asia,Eastern Asia
110.50.96.201,4,3,1000mg.jp,JP,Japan,Asia,Eastern Asia
162.43.116.119,4,0,10gsgoat.com,JP,Japan,Asia,Eastern Asia
163.43.144.7,4,7,10man-doc.co.jp,JP,Japan,Asia,Eastern Asia
183.181.86.2,4,2,1111piano.com,JP,Japan,Asia,Eastern Asia
109.107.137.230,4,-3,11sgz.com,JP,Japan,Asia,Eastern Asia
163.44.160.242,4,-1,1242.com,JP,Japan,Asia,Eastern Asia
172.104.118.254,4,2468,168cash.com.tw,JP,Japan,Asia,Eastern Asia
183.181.98.77,4,0,17media.jp,JP,Japan,Asia,Eastern Asia
124.35.5.91,4,2,194964.com,JP,Japan,Asia,Eastern Asia
160.251.150.180,4,15,195km.net,JP,Japan,Asia,Eastern Asia
183.181.81.28,4,-12,1chan.blog,JP,Japan,Asia,Eastern Asia
27.133.240.141,4,0,1geki.jp,JP,Japan,Asia,Eastern Asia
103.240.12.233,4,-9,1ldkshop.com,JP,Japan,Asia,Eastern Asia
133.125.72.246,4,9,1lejend.com,JP,Japan,Asia,Eastern Asia
183.90.250.11,4,10,1moa.biz,JP,Japan,Asia,Eastern Asia
160.16.103.86,4,8,1net.jp,JP,Japan,Asia,Eastern Asia
118.27.99.152,4,1,1on1.singles,JP,Japan,Asia,Eastern Asia
118.27.99.19,4,1,1stplace.co.jp,JP,Japan,Asia,Eastern Asia
160.16.80.156,4,3,1web.jp,JP,Japan,Asia,Eastern Asia
219.99.171.204,4,10,24028.jp,JP,Japan,Asia,Eastern Asia
23.225.248.166,4,8,258.com,JP,Japan,Asia,Eastern Asia
118.27.95.216,4,-3,28skywalkers.com,JP,Japan,Asia,Eastern Asia
49.212.27.40,4,7,2ch.io,JP,Japan,Asia,Eastern Asia
160.16.232.51,4,3,2chmap.com,JP,Japan,Asia,Eastern Asia
183.181.97.130,4,-11,2week.net,JP,Japan,Asia,Eastern Asia
219.111.21.198,4,22,3-d-d.com,JP,Japan,Asia,Eastern Asia
202.254.239.30,4,3,300books.jp,JP,Japan,Asia,Eastern Asia
162.43.120.28,4,-3,31op.com,JP,Japan,Asia,Eastern Asia
49.212.8.148,4,8,31tools.com,JP,Japan,Asia,Eastern Asia
133.18.168.226,4,10,365money.jp,JP,Japan,Asia,Eastern Asia
111.109.69.77,4,6,3751chat.com,JP,Japan,Asia,Eastern Asia
172.104.77.205,4,6,38.org.tw,JP,Japan,Asia,Eastern Asia
202.51.14.53,4,5,3bees.com,JP,Japan,Asia,Eastern Asia
162.43.117.138,4,-1,3dnchu.com,JP,Japan,Asia,Eastern Asia
207.148.99.118,4,8,3goo.co.jp,JP,Japan,Asia,Eastern Asia
202.172.28.92,4,5,3ne.biz,JP,Japan,Asia,Eastern Asia
49.212.80.165,4,6,4-seasons.jp,JP,Japan,Asia,Eastern Asia
49.212.82.107,4,8,4-seasons.jp,JP,Japan,Asia,Eastern Asia
49.212.81.214,4,5,4-seasons.jp,JP,Japan,Asia,Eastern Asia
202.152.218.9,4,2,418.co.jp,JP,Japan,Asia,Eastern Asia
183.90.255.160,4,2,4900.co.jp,JP,Japan,Asia,Eastern Asia
172.233.88.177,4,6,4dagu.com,JP,Japan,Asia,Eastern Asia
172.105.231.11,4,7,52nlp.cn,JP,Japan,Asia,Eastern Asia
183.181.90.161,4,0,551horai.co.jp,JP,Japan,Asia,Eastern Asia
118.107.170.19,4,23,6789.com,JP,Japan,Asia,Eastern Asia
162.43.99.111,4,-12,7-7maruka.com,JP,Japan,Asia,Eastern Asia
202.172.26.38,4,-6,70taka.com,JP,Japan,Asia,Eastern Asia
210.166.219.63,4,3,727.net,JP,Japan,Asia,Eastern Asia
133.18.73.57,4,6,777fukujin.com,JP,Japan,Asia,Eastern Asia
120.136.10.11,4,-10,7kg.jp,JP,Japan,Asia,Eastern Asia
210.231.178.248,4,7,80210.com,JP,Japan,Asia,Eastern Asia
160.16.200.203,4,4,81dojo.com,JP,Japan,Asia,Eastern Asia
162.43.117.100,4,0,835.jp,JP,Japan,Asia,Eastern Asia
183.181.88.15,4,-13,88shikokuhenro.jp,JP,Japan,Asia,Eastern Asia
160.16.100.89,4,1,89dream.jp,JP,Japan,Asia,Eastern Asia
47.245.58.66,4,6,8n8n.work,JP,Japan,Asia,Eastern Asia
202.254.236.143,4,-8,8ne.jp,JP,Japan,Asia,Eastern Asia
202.254.236.138,4,0,911days.com,JP,Japan,Asia,Eastern Asia
157.7.94.66,4,1136,9199.jp,JP,Japan,Asia,Eastern Asia
153.120.17.35,4,2,9db.jp,JP,Japan,Asia,Eastern Asia
153.120.25.242,4,1,9db.jp,JP,Japan,Asia,Eastern Asia
160.16.88.161,4,3,9mm.jp,JP,Japan,Asia,Eastern Asia
183.181.97.57,4,0,a-blogcms.jp,JP,Japan,Asia,Eastern Asia
183.90.240.53,4,21,a-shadow.com,JP,Japan,Asia,Eastern Asia
120.136.10.10,4,-1,a-star.co.jp,JP,Japan,Asia,Eastern Asia
183.181.97.69,4,5,aaafrog.com,JP,Japan,Asia,Eastern Asia
183.90.231.14,4,-12,aarjapan.gr.jp,JP,Japan,Asia,Eastern Asia
35.200.48.197,4,7,ab12345.cc,JP,Japan,Asia,Eastern Asia
157.112.152.60,4,-5,abakanko.jp,JP,Japan,Asia,Eastern Asia
133.18.91.19,4,-4,abc-mart.com,JP,Japan,Asia,Eastern Asia
183.181.88.68,4,7,abemonjuin.or.jp,JP,Japan,Asia,Eastern Asia
183.90.235.114,4,-93,abilities.jp,JP,Japan,Asia,Eastern Asia
