reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
45.207.34.18,4,20095,360123.com,MO,Asia,Eastern Asia,Macao,,,
125.31.37.250,4,57600061,DNS Server: n12531z37l250.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
182.93.23.130,4,73,DNS Server: n18293z23l130.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
182.93.25.100,4,1,DNS Server: n18293z25l100.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
182.93.25.98,4,1,DNS Server: n18293z25l98.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
202.86.149.18,4,2,DNS Server: n20286z149l18.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
202.86.149.20,4,1,DNS Server: n20286z149l20.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
202.86.191.50,4,-3,DNS Server: n20286z191l50.static.ctmip.net,MO,Asia,Eastern Asia,Macao,,,
122.100.153.3,4,0,DNS Server: nz153l3.bb122100.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.121.42,4,-307,DNS Server: z121l42.static.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.60.118,4,1,DNS Server: z60l118.static.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.66.53,4,1,DNS Server: z66l53.static.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.82.179,4,-342,DNS Server: z82l179.static.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.109.12,4,12,dsec.gov.mo,MO,Asia,Eastern Asia,Macao,,,
202.86.132.58,4,260946,mjc.mo,MO,Asia,Eastern Asia,Macao,,,
103.192.46.210,4,-3,Ookla Speedtest Server 14791: speedtest.mtel.mo,MO,Asia,Eastern Asia,Macao,,,
202.175.95.42,4,2,Ookla Speedtest Server 25176: speedtest3.macau.ctm.net,MO,Asia,Eastern Asia,Macao,,,
202.175.95.18,4,-1,Ookla Speedtest Server 33794: speedtest2.macau.ctm.net,MO,Asia,Eastern Asia,Macao,,,
103.237.125.228,4,2,Ookla Speedtest Server 71541: mtelspeedtest1.cyberpig.tech,MO,Asia,Eastern Asia,Macao,,,
