reflector_ip,ip_version,description,country_code,country_name,region,sub_region
192.250.200.194,4,0574snyw.com,KR,South Korea,Asia,Eastern Asia
49.238.228.120,4,21g.co.kr,KR,South Korea,Asia,Eastern Asia
110.10.197.42,4,47kg.kr,KR,South Korea,Asia,Eastern Asia
192.186.16.158,4,5395.com,KR,South Korea,Asia,Eastern Asia
61.14.210.97,4,58634.cc,KR,South Korea,Asia,Eastern Asia
14.48.175.188,4,60chicken.co.kr,KR,South Korea,Asia,Eastern Asia
192.186.43.146,4,79304.cn,KR,South Korea,Asia,Eastern Asia
111.92.189.105,4,80port.net,KR,South Korea,Asia,Eastern Asia
107.148.71.155,4,83141.com,KR,South Korea,Asia,Eastern Asia
103.61.1.251,4,88858678.com,KR,South Korea,Asia,Eastern Asia
118.36.77.82,4,aad.kr,KR,South Korea,Asia,Eastern Asia
175.115.53.50,4,aaesthetics.co.kr,KR,South Korea,Asia,Eastern Asia
1.234.27.227,4,adcomm.kr,KR,South Korea,Asia,Eastern Asia
150.109.83.91,4,ahg.co.kr,KR,South Korea,Asia,Eastern Asia
114.108.177.118,4,ai-dcloud.com,KR,South Korea,Asia,Eastern Asia
27.96.133.83,4,ajudaily.com,KR,South Korea,Asia,Eastern Asia
27.96.132.231,4,ajunews.com,KR,South Korea,Asia,Eastern Asia
118.67.141.120,4,ajupress.com,KR,South Korea,Asia,Eastern Asia
121.254.173.5,4,akins.co.kr,KR,South Korea,Asia,Eastern Asia
59.0.255.59,4,all.co.kr,KR,South Korea,Asia,Eastern Asia
175.199.67.164,4,allofoodlab.shop,KR,South Korea,Asia,Eastern Asia
210.127.209.86,4,alltheway.kr,KR,South Korea,Asia,Eastern Asia
141.164.45.52,4,apkians.com,KR,South Korea,Asia,Eastern Asia
222.231.31.105,4,ariangallery.com,KR,South Korea,Asia,Eastern Asia
101.33.77.110,4,asjgty.com,KR,South Korea,Asia,Eastern Asia
222.110.11.207,4,asonline.co.kr,KR,South Korea,Asia,Eastern Asia
220.123.184.113,4,assembble.com,KR,South Korea,Asia,Eastern Asia
121.78.116.102,4,aving.net,KR,South Korea,Asia,Eastern Asia
121.170.187.147,4,awardog.kr,KR,South Korea,Asia,Eastern Asia
1.246.219.232,4,awooltech.com,KR,South Korea,Asia,Eastern Asia
223.26.175.150,4,babylarva.com,KR,South Korea,Asia,Eastern Asia
58.229.253.246,4,baro-tech.co.kr,KR,South Korea,Asia,Eastern Asia
121.124.124.13,4,bbib.tv,KR,South Korea,Asia,Eastern Asia
107.163.5.114,4,beihuil.com,KR,South Korea,Asia,Eastern Asia
110.45.213.198,4,belvesteam.com,KR,South Korea,Asia,Eastern Asia
114.108.163.132,4,biomolther.org,KR,South Korea,Asia,Eastern Asia
121.78.147.231,4,bionicsro.co.kr,KR,South Korea,Asia,Eastern Asia
106.241.55.212,4,bitcoinbulls.world,KR,South Korea,Asia,Eastern Asia
182.162.146.13,4,blackangel.kr,KR,South Korea,Asia,Eastern Asia
141.164.58.45,4,blingmolt.com,KR,South Korea,Asia,Eastern Asia
222.231.28.175,4,bluechips.co.kr,KR,South Korea,Asia,Eastern Asia
14.0.82.124,4,bluewood.co.kr,KR,South Korea,Asia,Eastern Asia
182.162.136.158,4,bobofng.com,KR,South Korea,Asia,Eastern Asia
219.240.16.26,4,bodnara.co.kr,KR,South Korea,Asia,Eastern Asia
210.123.135.168,4,bohyeon.co.kr,KR,South Korea,Asia,Eastern Asia
211.115.65.79,4,bookstart.org,KR,South Korea,Asia,Eastern Asia
114.108.131.72,4,boryeonginfo.com,KR,South Korea,Asia,Eastern Asia
210.118.193.186,4,boxad.kr,KR,South Korea,Asia,Eastern Asia
180.131.7.60,4,bpl.kr,KR,South Korea,Asia,Eastern Asia
115.68.168.128,4,broadmind.co.kr,KR,South Korea,Asia,Eastern Asia
110.10.168.148,4,bstm.kr,KR,South Korea,Asia,Eastern Asia
61.36.135.99,4,buddhapia.com,KR,South Korea,Asia,Eastern Asia
218.237.65.52,4,busanopen.org,KR,South Korea,Asia,Eastern Asia
210.118.193.172,4,byus.net,KR,South Korea,Asia,Eastern Asia
158.247.219.202,4,cakeandallie.com,KR,South Korea,Asia,Eastern Asia
106.254.241.146,4,camosglobal.com,KR,South Korea,Asia,Eastern Asia
103.39.18.66,4,canpengwangye.com,KR,South Korea,Asia,Eastern Asia
8.213.131.135,4,carryprotocol.io,KR,South Korea,Asia,Eastern Asia
13.125.102.174,4,catholictimes.org,KR,South Korea,Asia,Eastern Asia
15.165.6.205,4,catholictimes.org,KR,South Korea,Asia,Eastern Asia
3.35.112.104,4,catholictimes.org,KR,South Korea,Asia,Eastern Asia
3.37.142.79,4,catholictimes.org,KR,South Korea,Asia,Eastern Asia
