reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
14.48.175.188,4,428,60chicken.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.182,4,-23,chungha.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.170,4,765,dreamforone.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
211.51.221.244,4,-7,eui.asia,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
118.40.31.227,4,-144941,expo2012.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.184,4,-14,itforone.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.235,4,-19,music-mania.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.204,4,582,ri3661.org,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
222.102.70.100,4,-222502,shsenc.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.189,4,811,sunmicns.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.169,4,879,taesangaja.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.215,4,-16,thusima.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.242,4,861,wandocamp.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
211.51.221.167,4,27,xn--jk1bt3q46mdoi.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.161,4,862,xn--yh4b53j.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
