reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
14.48.175.188,4,428,60chicken.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.182,4,-23,chungha.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.170,4,765,dreamforone.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
211.51.221.244,4,-7,eui.asia,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
118.40.31.227,4,-144941,expo2012.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
222.239.14.105,4,395,hanawf.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Seo-gu
14.48.175.184,4,-14,itforone.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.235,4,-19,music-mania.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
222.102.7.33,4,956,namosusan.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Nam-gu
211.223.105.101,4,10,papaflower.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Dong-gu
14.48.175.204,4,582,ri3661.org,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
222.102.7.29,4,60,samc.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Nam-gu
222.102.70.100,4,-222502,shsenc.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.189,4,811,sunmicns.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.169,4,879,taesangaja.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.215,4,-16,thusima.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.242,4,861,wandocamp.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
222.102.7.27,4,26,xn--9h0b42r1wk2um63cea.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Nam-gu
222.239.14.181,4,436,xn--9r2b13phzdq9r.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Seo-gu
211.51.221.167,4,27,xn--jk1bt3q46mdoi.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.161,4,862,xn--yh4b53j.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
