reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
1.172.170.204,4,-28803847,DNS Server: 1-172-170-204.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.172.174.64,4,-26642594,DNS Server: 1-172-174-64.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.172.178.132,4,389,DNS Server: 1-172-178-132.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.172.179.226,4,19658,DNS Server: 1-172-179-226.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.172.228.178,4,1971,DNS Server: 1-172-228-178.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.172.48.85,4,1885,DNS Server: 1-172-48-85.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.173.93.104,4,61,DNS Server: 1-173-93-104.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.100.184,4,57,DNS Server: 1-174-100-184.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.101.131,4,141,DNS Server: 1-174-101-131.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.103.23,4,1732,DNS Server: 1-174-103-23.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.104.98,4,-178,DNS Server: 1-174-104-98.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.106.2,4,-140,DNS Server: 1-174-106-2.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.109.131,4,2178,DNS Server: 1-174-109-131.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.109.99,4,1857,DNS Server: 1-174-109-99.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.115.128,4,289,DNS Server: 1-174-115-128.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.115.168,4,-28800518,DNS Server: 1-174-115-168.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
1.174.116.45,4,1747,DNS Server: 1-174-116-45.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,Kaohsiung,,Kaohsiung
