reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
203.74.220.4,4,-47,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.220.1,4,-55,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.221.2,4,-48,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.221.3,4,-51,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.220.3,4,-51,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.221.4,4,-46,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
203.74.220.2,4,-72,500.gov.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
210.244.72.15,4,10624,archi.com.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.160.203.160,4,154,DNS Server: 1-160-203-160.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.160.210.38,4,2147,DNS Server: 1-160-210-38.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.160.236.147,4,-15,DNS Server: 1-160-236-147.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.160.66.155,4,-6,DNS Server: 1-160-66-155.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.107.209,4,43,DNS Server: 1-161-107-209.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.122.88,4,57599260,DNS Server: 1-161-122-88.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.124.140,4,143,DNS Server: 1-161-124-140.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.17.193,4,18,DNS Server: 1-161-17-193.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.26.96,4,-89,DNS Server: 1-161-26-96.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.65.241,4,2024,DNS Server: 1-161-65-241.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.65.56,4,81,DNS Server: 1-161-65-56.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.70.24,4,-14,DNS Server: 1-161-70-24.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.76.193,4,21,DNS Server: 1-161-76-193.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.77.178,4,38497,DNS Server: 1-161-77-178.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.77.224,4,-38,DNS Server: 1-161-77-224.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.90.84,4,7,DNS Server: 1-161-90-84.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.161.95.108,4,57600866,DNS Server: 1-161-95-108.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.162.102.39,4,-4,DNS Server: 1-162-102-39.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Banqiao
1.162.69.215,4,175539,DNS Server: 1-162-69-215.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.162.69.34,4,28811896,DNS Server: 1-162-69-34.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.162.96.181,4,57597440,DNS Server: 1-162-96-181.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Banqiao
1.163.128.138,4,19545,DNS Server: 1-163-128-138.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.171.199.120,4,150029,DNS Server: 1-171-199-120.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Banqiao
1.171.218.147,4,-24,DNS Server: 1-171-218-147.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
1.171.225.67,4,57599305,DNS Server: 1-171-225-67.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Banqiao
114.32.117.124,4,-893,DNS Server: 114-32-117-124.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
114.35.171.139,4,55893610,DNS Server: 114-35-171-139.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Luzhou
118.163.72.98,4,50925,DNS Server: 118-163-72-98.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
118.166.132.166,4,2127,DNS Server: 118-166-132-166.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
118.168.134.6,4,-10,DNS Server: 118-168-134-6.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
125.227.35.90,4,13,DNS Server: 125-227-35-90.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
202.39.212.253,4,16,DNS Server: 202-39-212-253.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Xindian District
211.72.99.88,4,9,DNS Server: 211-72-99-88.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
211.75.15.177,4,-17,DNS Server: 211-75-15-177.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Sanchong District
220.132.105.10,4,78628322,DNS Server: 220-132-105-10.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Linkou District
220.134.170.52,4,6,DNS Server: 220-134-170-52.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
220.134.34.30,4,8,DNS Server: 220-134-34-30.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
220.135.21.123,4,-43291,DNS Server: 220-135-21-123.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Shulin District
220.135.22.145,4,57600287,DNS Server: 220-135-22-145.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Shulin District
220.135.28.237,4,-11,DNS Server: 220-135-28-237.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,Shulin District
59.120.29.175,4,11,DNS Server: 59-120-29-175.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
59.124.0.180,4,5297,DNS Server: 59-124-0-180.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
59.127.40.140,4,-68517,DNS Server: 59-127-40-140.hinet-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
61.228.161.167,4,57598888,DNS Server: 61-228-161-167.dynamic-ip.hinet.net,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
220.128.220.38,4,-41,DNS Server: mail.taiwantt.org.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
220.130.153.130,4,28,DNS Server: ns3.ucloudhosting.com.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
124.219.110.49,4,-11,DoH server: doh.viatech.com.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
59.124.74.18,4,127,eisland.com.tw,TW,Asia,Eastern Asia,Taiwan,New Taipei City,,New Taipei City
